ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A9JTT4,A9JTT4_XENTR,ENSXETP00000029665,XENTR,9.0,1,1,1,1,,,,,1,1,,1,1,1
F7G5C5,F7G5C5_MONDO,ENSMODP00000018806,MONDO,5.0,1,1,1,1,,,,,1,,,,,
E1C9J3,nan,nan,nan,5.0,1,1,1,1,,,,,1,,,,,
Q32PL4,Q32PL4_DANRE,nan,DANRE,3.0,1,1,,,,,,,1,,,,,
B0UXT0,B0UXT0_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,,1
C3YQ98,C3YQ98_BRAFL,nan,BRAFL,2.0,,,,,,,,,,1,,,1,
H2TBV1,H2TBV1_TAKRU,ENSTRUP00000022143,TAKRU,2.0,,,,,,,,,,,,1,,1
F7HKT4,F7HKT4_MACMU,ENSMMUP00000015648,MACMU,1.0,,,,,,,,,,,,1,,
Q9H607,OCEL1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q95VE6,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q7PMS0,Q7PMS0_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q2NL49,Q2NL49_RAT,nan,RAT,1.0,,,,1,,,,,,,,,,
P55199,ELL_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
H2QFT5,H2QFT5_PANTR,ENSPTRP00000018273,PANTR,1.0,,,,,,,,,,1,,,,
H2QFQ3,H2QFQ3_PANTR,ENSPTRP00000018193,PANTR,1.0,,,,,,,,,,,,1,,
A2BI99,A2BI99_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
F7GCP2,F7GCP2_MACMU,ENSMMUP00000017980,MACMU,1.0,,,,,,,,,,1,,,,
A7SYM2,A7SYM2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
F6RA30,F6RA30_BOVIN,ENSBTAP00000044623,BOVIN,1.0,1,,,,,,,,,,,,,
F1PRC6,F1PRC6_CANFA,ENSCAFP00000022820,CANFA,1.0,,,,,,,,,,,,1,,
F1PI35,F1PI35_CANFA,ENSCAFP00000021775,CANFA,1.0,,,,,,,,,,1,,,,
C1M0D8,nan,nan,nan,1.0,,,,,,,,,,1,,,,
C1M0D7,nan,nan,nan,1.0,,,,,,,,,,1,,,,
B7PDX2,B7PDX2_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B5DFM2,B5DFM2_RAT,nan,RAT,1.0,1,,,,,,,,,,,,,
nan,nan,ENSBTAP00000053826,BOVIN,1.0,,,,,,,,,,1,,,,
