ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6UYM3,F6UYM3_XENTR,ENSXETP00000036717,XENTR,9.0,,,1,1,,,1,1,1,1,1,1,,1
nan,nan,ENSGALP00000035295,CHICK,4.0,,,,,,,,1,1,1,,1,,
nan,nan,ENSGALP00000035389,CHICK,2.0,,,1,1,,,,,,,,,,
A7RSU6,A7RSU6_NEMVE,nan,NEMVE,2.0,,,,,,,1,,,,,,,1
A7RGK9,A7RGK9_NEMVE,nan,NEMVE,2.0,,,,,,,,1,,,,1,,
C3ZW78,C3ZW78_BRAFL,nan,BRAFL,1.0,,,,,,,1,,,,,,,
nan,nan,ENSGALP00000035011,CHICK,1.0,,,,,,,,,1,,,,,
nan,nan,ENSCINP00000016155,CIOIN,1.0,,,,,,,,,1,,,,,
Q7S8F0,Q7S8F0_NEUCR,nan,NEUCR,1.0,,,,,,,,,1,,,,,
Q63179,Q63179_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
Q0UDA6,Q0UDA6_PHANO,nan,PHANO,1.0,,,,,,,,,1,,,,,
F7FZJ4,F7FZJ4_MACMU,ENSMMUP00000038200,MACMU,1.0,,,,,,,,,1,,,,,
F6V9G4,F6V9G4_MONDO,ENSMODP00000017535,MONDO,1.0,,,,,,,,,,,1,,,
A7F8S5,A7F8S5_SCLS1,nan,SCLS1,1.0,,,,,,,,,1,,,,,
C3YE23,C3YE23_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
B0YEZ7,B0YEZ7_ASPFC,nan,ASPFC,1.0,,,,,,,,,1,,,,,
A7T6H8,A7T6H8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7SPI6,A7SPI6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7SKY4,A7SKY4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SJ58,A7SJ58_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SJ18,A7SJ18_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7RW32,A7RW32_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7RTS7,A7RTS7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
C3YP33,C3YP33_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
