ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSDARP00000123628,CRYNJ,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D3Z1R7,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9H3R1,NDST4_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QQ27,H2QQ27_PANTR,ENSPTRP00000028146,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7HFM8,F7HFM8_MACMU,ENSMMUP00000003853,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7B4Y1,F7B4Y1_XENTR,ENSXETP00000023176,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7A1T5,F7A1T5_MONDO,ENSMODP00000006425,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BSM1,E1BSM1_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D3ZD27,D3ZD27_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1MMN3,F1MMN3_BOVIN,ENSBTAP00000046465,BOVIN,13.0,1,1,1,1,1,1,1,1,,1,1,1,1,1
F7EIQ3,F7EIQ3_ORNAN,ENSOANP00000014783,ORNAN,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
C4Q3D0,nan,nan,nan,9.0,,,,1,,,1,1,1,1,1,1,1,1
A7STS7,A7STS7_NEMVE,nan,NEMVE,8.0,,,1,,,1,,1,1,1,,1,1,1
F6WF98,F6WF98_CIOIN,ENSCINP00000012319,CIOIN,8.0,,,1,,,,,1,1,1,1,1,1,1
Q9V3L1,NDST_DROME,nan,DROME,7.0,,,,,,,,1,1,1,1,1,1,1
Q966W3,NDST_CAEEL,nan,CAEEL,7.0,,,,,,,,1,1,1,1,1,1,1
Q7Q5P3,Q7Q5P3_ANOGA,nan,ANOGA,7.0,,,,,,,,1,1,1,1,1,1,1
B7QII2,B7QII2_IXOSC,nan,IXOSC,7.0,,,,,,,,1,1,1,1,1,1,1
C3YFU1,C3YFU1_BRAFL,nan,BRAFL,7.0,,,,,,,,1,1,1,1,1,1,1
F1PNL3,F1PNL3_CANFA,ENSCAFP00000018062,CANFA,6.0,,,1,,1,,,,,1,1,1,1,
H2RKQ3,H2RKQ3_TAKRU,ENSTRUP00000000716,TAKRU,5.0,,,,,1,,,,,1,1,1,1,
Q55GK8,KIL1_DICDI,nan,DICDI,4.0,,,,,,,,,,1,1,1,1,
A9VBN9,A9VBN9_MONBE,nan,MONBE,3.0,,,,,,,,,,,1,1,1,
A9USA6,A9USA6_MONBE,nan,MONBE,3.0,,,,,,,,,,,1,1,1,
A9UY55,A9UY55_MONBE,nan,MONBE,3.0,,,,,,,,,,,1,1,1,
A7T895,A7T895_NEMVE,nan,NEMVE,3.0,,,,,,,1,,,1,,1,,
Q7NIJ0,Q7NIJ0_GLOVI,nan,GLOVI,3.0,,,,,,,,,,,1,1,1,
Q7NNE6,Q7NNE6_GLOVI,nan,GLOVI,3.0,,,,,,,,,,,1,1,1,
Q7NNE7,Q7NNE7_GLOVI,nan,GLOVI,3.0,,,,,,,,,,,1,1,1,
B8BX55,B8BX55_THAPS,nan,THAPS,3.0,,,,,,,,,,,1,1,1,
Q6ZET8,Q6ZET8_SYNY3,nan,SYNY3,2.0,,,,,,,,,,,1,,1,
A9VDM5,A9VDM5_MONBE,nan,MONBE,2.0,,,,,,,,,,,,1,1,
B8C4E6,B8C4E6_THAPS,nan,THAPS,2.0,,,,,,,,,,,1,1,,
A9VDM4,A9VDM4_MONBE,nan,MONBE,2.0,,,,,,,,,,,,1,1,
A7T0E6,A7T0E6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7STS8,A7STS8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
F6V2P6,F6V2P6_CIOIN,ENSCINP00000024679,CIOIN,1.0,,,,,,,,,,,1,,,
A9UVV9,A9UVV9_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9UYN9,A9UYN9_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9V605,A9V605_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9VCD3,A9VCD3_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
B8CAP5,B8CAP5_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
B8C3E4,B8C3E4_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
B5YNL3,B5YNL3_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
B5YMN2,B5YMN2_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
A9VEJ5,A9VEJ5_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9VE34,A9VE34_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A7SQL8,A7SQL8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
