ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6RJR9,F6RJR9_XENTR,ENSXETP00000028107,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6REB8,F6REB8_MACMU,ENSMMUP00000001209,MACMU,13.0,1,1,1,1,1,1,1,1,,1,1,1,1,1
E1BI07,E1BI07_BOVIN,ENSBTAP00000043399,BOVIN,13.0,1,1,1,1,1,1,1,1,,1,1,1,1,1
Q80WE5,LHPL1_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,,1,1,1,1,1
Q80SV1,LHPL1_MOUSE,nan,MOUSE,13.0,1,1,1,1,1,1,1,1,,1,1,1,1,1
Q86WI0,LHPL1_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,1,1,,1,1,1,1,1
E2RKN1,E2RKN1_CANFA,ENSCAFP00000026913,CANFA,12.0,1,,1,1,1,1,1,1,,1,1,1,1,1
F6ZDS8,F6ZDS8_MONDO,ENSMODP00000006288,MONDO,12.0,1,,1,1,1,1,1,1,,1,1,1,1,1
H2QZ08,H2QZ08_PANTR,ENSPTRP00000038205,PANTR,9.0,,,1,1,1,,1,,,1,1,1,1,1
A7RTG9,A7RTG9_NEMVE,nan,NEMVE,7.0,,,,,,,,1,1,1,1,1,1,1
C3ZEC8,C3ZEC8_BRAFL,nan,BRAFL,6.0,,,,,,,,1,1,1,,1,1,1
C3ZED1,C3ZED1_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,1,1,,
H2UI19,H2UI19_TAKRU,ENSTRUP00000036590,TAKRU,2.0,,,,,,,,,,1,1,,,
C4QEY3,nan,nan,nan,1.0,,,,,,,,,,,1,,,
A7TCL5,A7TCL5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q5PRC1,LHFP_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
C3YDI9,C3YDI9_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
