ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9W5T4,Q9W5T4_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6WA87,F6WA87_MONDO,ENSMODP00000012334,MONDO,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q8NBF2,NHLC2_HUMAN,nan,HUMAN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q8BZW8,NHLC2_MOUSE,nan,MOUSE,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q7Q8Q9,Q7Q8Q9_ANOGA,nan,ANOGA,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q7NNM4,Q7NNM4_GLOVI,nan,GLOVI,12.0,1,1,1,1,1,,1,1,,1,1,1,1,1
Q5ZI67,NHLC2_CHICK,nan,CHICK,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
A7RH97,A7RH97_NEMVE,nan,NEMVE,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
H2U3C5,H2U3C5_TAKRU,ENSTRUP00000031436,TAKRU,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
H2Q2L4,H2Q2L4_PANTR,ENSPTRP00000005221,PANTR,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F7F8R5,F7F8R5_ORNAN,ENSOANP00000002501,ORNAN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
A4IF69,NHLC2_BOVIN,ENSBTAP00000004806,BOVIN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F6TP26,F6TP26_MACMU,ENSMMUP00000021890,MACMU,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F1PXK1,F1PXK1_CANFA,ENSCAFP00000016498,CANFA,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
E7FGM3,E7FGM3_DANRE,ENSDARP00000100684,DANRE,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
D3ZLM5,D3ZLM5_RAT,nan,RAT,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
B7PT46,B7PT46_IXOSC,nan,IXOSC,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q9RIX1,Q9RIX1_STRCO,nan,STRCO,10.0,1,1,,1,1,,1,1,,1,1,,1,1
Q8VZ10,Q8VZ10_ARATH,nan,ARATH,10.0,1,1,,,,1,1,1,1,1,,1,1,1
A9SEV6,A9SEV6_PHYPA,nan,PHYPA,9.0,1,1,,,,1,1,1,1,1,,,1,1
C3YCC2,C3YCC2_BRAFL,nan,BRAFL,4.0,,,,,,1,1,,,1,,1,,
F6Z0X9,F6Z0X9_CIOIN,ENSCINP00000022707,CIOIN,4.0,,,,,,1,1,,,1,,1,,
Q10801,nan,nan,nan,3.0,,,,,,,1,1,,1,,,,
Q89VL9,Q89VL9_BRADU,nan,BRADU,3.0,,,,,,,1,1,,1,,,,
Q7UPN8,Q7UPN8_RHOBA,nan,RHOBA,2.0,,,,,,,,1,,1,,,,
Q7NFA5,Q7NFA5_GLOVI,nan,GLOVI,2.0,,,,,,,,,,1,1,,,
A8BIK4,A8BIK4_GIAIC,nan,GIAIC,2.0,,,,,,1,1,,,,,,,
A7RPK1,A7RPK1_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q8F1J0,Q8F1J0_LEPIN,nan,LEPIN,1.0,,,,,,,,,,1,,,,
A9WI14,A9WI14_CHLAA,nan,CHLAA,1.0,,,,,,,1,,,,,,,
Q8A4R7,Q8A4R7_BACTN,nan,BACTN,1.0,,,,,,,1,,,,,,,
Q7UTL4,Q7UTL4_RHOBA,nan,RHOBA,1.0,,,,,,,,,,1,,,,
Q7NH36,Q7NH36_GLOVI,nan,GLOVI,1.0,,,,,,,,,,1,,,,
Q7NGL2,Q7NGL2_GLOVI,nan,GLOVI,1.0,,,,,,,,,,1,,,,
O31699,YKUV_BACSU,nan,BACSU,1.0,,,,,,,,,,1,,,,
