ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7RT50,A7RT50_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
B7Z079,B7Z079_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q6PDX6,RN220_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q5VTB9,RN220_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q5TW12,Q5TW12_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q5F338,Q5F338_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
Q28CJ2,Q28CJ2_XENTR,ENSXETP00000002307,XENTR,1.0,,,,,,,,,,,1,,,
Q08CD0,Q08CD0_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
H2UFT6,H2UFT6_TAKRU,ENSTRUP00000035806,TAKRU,1.0,,,,,,,,,,,1,,,
H2RQ87,H2RQ87_TAKRU,ENSTRUP00000002302,TAKRU,1.0,,,,,,,,,,,1,,,
H2R1K7,H2R1K7_PANTR,ENSPTRP00000042509,PANTR,1.0,,,,,,,,,,,1,,,
F7HTE1,F7HTE1_MACMU,ENSMMUP00000031325,MACMU,1.0,,,,,,,,,,,1,,,
F7CYM1,F7CYM1_MONDO,ENSMODP00000003256,MONDO,1.0,,,,,,,,,,,1,,,
F6ZQ14,F6ZQ14_CIOIN,ENSCINP00000004504,CIOIN,1.0,,,,,,,,,,,1,,,
F1MYL0,F1MYL0_BOVIN,ENSBTAP00000016395,BOVIN,1.0,,,,,,,,,,,1,,,
E2RAR7,E2RAR7_CANFA,ENSCAFP00000007161,CANFA,1.0,,,,,,,,,,,1,,,
E1C3K9,E1C3K9_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
D4AA66,D4AA66_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
C3YCH7,C3YCH7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
Q7QG09,Q7QG09_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
