ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2QMS8,H2QMS8_PANTR,ENSPTRP00000025951,PANTR,3.0,,,,,,,1,,,1,,,,1
Q96AA3,RFT1_HUMAN,nan,HUMAN,3.0,,,,,,,1,,,1,,,,1
F6SJE2,F6SJE2_ORNAN,ENSOANP00000028327,ORNAN,3.0,,,,,,,1,,,1,,,,1
F7FPX3,F7FPX3_MACMU,ENSMMUP00000021282,MACMU,3.0,,,,,,,1,,,1,,,,1
Q9FLR8,Q9FLR8_ARATH,nan,ARATH,2.0,,,,,,,,,,1,,,,1
Q8C3B8,RFT1_MOUSE,nan,MOUSE,2.0,,,,,,,,,,1,,,,1
Q7S5R0,Q7S5R0_NEUCR,nan,NEUCR,2.0,,,,,,,,,,1,,,,1
Q6C6S3,RFT1_YARLI,nan,YARLI,2.0,,,,,,,,,,1,,,,1
Q5TSZ1,Q5TSZ1_ANOGA,nan,ANOGA,2.0,,,,,,,,,,1,,,,1
A7EYV9,A7EYV9_SCLS1,nan,SCLS1,2.0,,,,,,,,,,1,,,,1
Q54IV7,RFT1_DICDI,nan,DICDI,2.0,,,,,,,,,,1,,,,1
Q4PBT0,Q4PBT0_USTMA,nan,USTMA,2.0,,,,,,,,,,1,,,,1
Q23444,RFT1_CAEEL,nan,CAEEL,2.0,,,,,,,,,,1,,,,1
Q0UET8,Q0UET8_PHANO,nan,PHANO,2.0,,,,,,,,,,1,,,,1
P38206,RFT1_YEAST,nan,YEAST,2.0,,,,,,,,,,1,,,,1
O94302,RFT1_SCHPO,nan,SCHPO,2.0,,,,,,,,,,1,,,,1
Q9Y123,RFT1_DROME,nan,DROME,2.0,,,,,,,,,,1,,,,1
H2TQ15,H2TQ15_TAKRU,ENSTRUP00000026772,TAKRU,2.0,,,,,,,,,,1,,,,1
Q5A6N8,RFT1_CANAL,nan,CANAL,2.0,,,,,,,,,,1,,,,1
nan,nan,ENSCINP00000003576,CIOIN,2.0,,,,,,,,,,1,,,,1
F7D428,F7D428_MONDO,ENSMODP00000013349,MONDO,2.0,,,,,,,,,,1,,,,1
A9RNQ6,A9RNQ6_PHYPA,nan,PHYPA,2.0,,,,,,,,,,1,,,,1
E7EXE6,E7EXE6_DANRE,ENSDARP00000079496,DANRE,2.0,,,,,,,,,,1,,,,1
E2RQ01,E2RQ01_CANFA,ENSCAFP00000012844,CANFA,2.0,,,,,,,,,,1,,,,1
E1BNC6,E1BNC6_BOVIN,ENSBTAP00000053575,BOVIN,2.0,,,,,,,,,,1,,,,1
D4A6W4,D4A6W4_RAT,nan,RAT,2.0,,,,,,,,,,1,,,,1
A7S4E5,A7S4E5_NEMVE,nan,NEMVE,2.0,,,,,,,,,,1,,,,1
C4Q1J4,nan,nan,nan,2.0,,,,,,,,,,1,,,,1
C3XQP1,C3XQP1_BRAFL,nan,BRAFL,2.0,,,,,,,,,,1,,,,1
F1P5L5,F1P5L5_CHICK,ENSGALP00000003006,CHICK,2.0,,,,,,,,,,1,,,,1
B8CE33,B8CE33_THAPS,nan,THAPS,2.0,,,,,,,,,,1,,,,1
B7QIV7,B7QIV7_IXOSC,nan,IXOSC,2.0,,,,,,,,,,1,,,,1
B0XW30,B0XW30_ASPFC,nan,ASPFC,2.0,,,,,,,,,,1,,,,1
B0XW29,B0XW29_ASPFC,nan,ASPFC,2.0,,,,,,,,,,1,,,,1
A9UQN8,A9UQN8_MONBE,nan,MONBE,2.0,,,,,,,,,,1,,,,1
Q5KMD5,Q5KMD5_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,1,,,,
Q4Q823,Q4Q823_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,,,,1
A2G4W0,A2G4W0_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
