ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7FSL2,F7FSL2_ORNAN,ENSOANP00000005505,ORNAN,9.0,,,1,1,,,1,1,1,1,1,1,1,
B1H1I6,B1H1I6_DANRE,nan,DANRE,2.0,,,,,,,,1,,,,1,,
C3XV33,C3XV33_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
A9JSZ8,A9JSZ8_DANRE,nan,DANRE,2.0,,,,,,,,1,,,,1,,
A7S5F1,A7S5F1_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,1,,1,
E7F8P0,E7F8P0_DANRE,ENSDARP00000080227,DANRE,2.0,,,,,,,,1,,,1,,,
O16682,O16682_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q495X7,TRI60_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q1LZA9,Q1LZA9_BOVIN,ENSBTAP00000001158,BOVIN,1.0,,,,,,,,,,,1,,,
Q12161,PSH1_YEAST,nan,YEAST,1.0,,,,,,,1,,,,,,,
Q0P4D7,Q0P4D7_DANRE,nan,DANRE,1.0,,,,,,,,1,,,,,,
Q0P4C7,Q0P4C7_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q08CC9,Q08CC9_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
P93744,P93744_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
P14373,TRI27_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
O16684,O16684_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
A0NH26,A0NH26_ANOGA,nan,ANOGA,1.0,,,,,,,1,,,,,,,
O16680,O16680_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q4Q1S1,Q4Q1S1_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
L7N2Z8,L7N2Z8_XENTR,ENSXETP00000015795,XENTR,1.0,,,,,,,,,,,1,,,
H9H2M6,H9H2M6_MACMU,ENSMMUP00000000134,MACMU,1.0,,,,,,,,,,,1,,,
H2TXT4,H2TXT4_TAKRU,ENSTRUP00000029493,TAKRU,1.0,,,,,,,,,,,1,,,
H2TPA7,H2TPA7_TAKRU,ENSTRUP00000026513,TAKRU,1.0,,,,,,,,,,,1,,,
H2T5L0,H2T5L0_TAKRU,ENSTRUP00000019949,TAKRU,1.0,,,,,,,,,,,1,,,
H2SYR9,H2SYR9_TAKRU,ENSTRUP00000017557,TAKRU,1.0,,,,,,,,,,,1,,,
H2SYH2,H2SYH2_TAKRU,ENSTRUP00000017460,TAKRU,1.0,,,,,,,,,,,,1,,
H2SSF3,H2SSF3_TAKRU,ENSTRUP00000015340,TAKRU,1.0,,,,1,,,,,,,,,,
H2SFE1,H2SFE1_TAKRU,ENSTRUP00000011122,TAKRU,1.0,,,,,,,,,,,,1,,
H2S2S7,H2S2S7_TAKRU,ENSTRUP00000006699,TAKRU,1.0,,,,,,,,,,,1,,,
H2RXG7,H2RXG7_TAKRU,ENSTRUP00000004837,TAKRU,1.0,,,,,,,,,,1,,,,
O16614,O16614_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q4Q757,Q4Q757_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
H2QQJ8,H2QQJ8_PANTR,ENSPTRP00000028592,PANTR,1.0,,,,,,,,,,1,,,,
Q8MQB4,Q8MQB4_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
nan,nan,ENSPTRP00000028438,PANTR,1.0,,,,,,,,,,,1,,,
nan,nan,ENSMODP00000019944,MONDO,1.0,,,,,,,,,,,1,,,
nan,nan,ENSBTAP00000010051,BOVIN,1.0,,,,,,,,,,,1,,,
Q9U5C2,Q9U5C2_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q9U5C1,Q9U5C1_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q9N3T6,Q9N3T6_CAEEL,nan,CAEEL,1.0,,,,,,,,,1,,,,,
Q9HCM9,TRI39_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q9C019,TRI15_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q8VI40,TRI60_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q8N9V2,TRIML_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q8N7C3,TRIMM_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q8BVP1,TRIML_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q54V91,Q54V91_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,1,
Q7ZVQ7,Q7ZVQ7_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q7YR33,TRI15_PANTR,ENSPTRP00000044121,PANTR,1.0,,,,,,,,,,,1,,,
Q7Q884,Q7Q884_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
Q7PTB5,Q7PTB5_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q6P000,Q6P000_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q6NLR3,Q6NLR3_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
