ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7A233,F7A233_ORNAN,ENSOANP00000018348,ORNAN,11.0,1,1,1,1,,1,1,1,1,1,,1,,1
F7B169,F7B169_CIOIN,ENSCINP00000024775,CIOIN,9.0,1,1,1,1,,1,1,1,,,,1,,1
B7PAH6,B7PAH6_IXOSC,nan,IXOSC,7.0,1,1,,,,1,1,1,,,,1,,1
A7EZV3,A7EZV3_SCLS1,nan,SCLS1,6.0,1,1,,,,1,1,1,,,,,,1
A7RP05,A7RP05_NEMVE,nan,NEMVE,6.0,1,1,,,,1,1,1,,,,,,1
C4Q1L1,nan,nan,nan,6.0,1,,,,,1,1,1,1,,,,,1
Q6CCR3,Q6CCR3_YARLI,nan,YARLI,5.0,,,,,,1,1,1,,,,1,,1
Q59ZT5,Q59ZT5_CANAL,nan,CANAL,5.0,,,,,,1,1,1,,,,1,,1
Q0UTP2,Q0UTP2_PHANO,nan,PHANO,5.0,,,,,,1,1,1,,1,,,,1
Q5KIU9,Q5KIU9_CRYNJ,nan,CRYNJ,4.0,,,,,,,1,,,1,,1,,1
E9QGN2,E9QGN2_DANRE,ENSDARP00000120332,DANRE,4.0,,,,,,,1,,,1,,1,,1
H2VC90,H2VC90_TAKRU,ENSTRUP00000046833,TAKRU,4.0,,,,,,,1,,,1,,1,,1
H2R3J1,H2R3J1_PANTR,ENSPTRP00000045604,PANTR,3.0,,,,,,,1,,,,,1,,1
F7HAZ3,F7HAZ3_MACMU,ENSMMUP00000003897,MACMU,3.0,,,,,,,1,,,,,1,,1
F6ZUC5,F6ZUC5_MONDO,ENSMODP00000007482,MONDO,3.0,,,,,,,1,,,,,1,,1
Q4P8T2,Q4P8T2_USTMA,nan,USTMA,3.0,,,,,,1,1,,,,,,,1
Q68FG1,Q68FG1_MOUSE,nan,MOUSE,3.0,,,,,,,1,,,,,1,,1
Q9UHC1,MLH3_HUMAN,nan,HUMAN,3.0,,,,,,,1,,,,,1,,1
Q54QI0,Q54QI0_DICDI,nan,DICDI,3.0,,,,,,,,,,1,,1,,1
nan,nan,ENSCAFP00000025047,CANFA,3.0,,,,,,,1,,,,,1,,1
E1C7F3,E1C7F3_CHICK,nan,CHICK,3.0,,,,,,,,,,1,,1,,1
E1BNK2,E1BNK2_BOVIN,ENSBTAP00000053506,BOVIN,3.0,,,,,,,1,,,,,1,,1
D4ADG4,D4ADG4_RAT,nan,RAT,3.0,,,,,,,1,,,,,1,,1
O81785,nan,nan,nan,2.0,,,,,,,,,,,,1,,1
A7RP06,A7RP06_NEMVE,nan,NEMVE,2.0,,,,,,,,,,1,,1,,
Q9HE21,Q9HE21_NEUCS,nan,NEUCR,2.0,,,,,,,,,,1,,1,,
B0Y5J1,B0Y5J1_ASPFC,nan,ASPFC,2.0,,,,,,1,,,,1,,,,
F6YUY9,F6YUY9_XENTR,ENSXETP00000029020,XENTR,2.0,,,,,,,,,,1,,,,1
B7PAH7,B7PAH7_IXOSC,nan,IXOSC,2.0,,,,,,,,,,1,,1,,
Q12083,MLH3_YEAST,nan,YEAST,2.0,,,,,,,,,,,,1,,1
B8BYJ0,B8BYJ0_THAPS,nan,THAPS,2.0,,,,,,,1,,1,,,,,
C3XR93,C3XR93_BRAFL,nan,BRAFL,2.0,,,,,,,,,,1,,1,,
F7B162,F7B162_CIOIN,ENSCINP00000024776,CIOIN,2.0,,,,,,,,,,1,,1,,
Q0UVA3,Q0UVA3_PHANO,nan,PHANO,1.0,,,,,,,,,,1,,,,
B0Y9N7,B0Y9N7_ASPFC,nan,ASPFC,1.0,,,,,,,,,,1,,,,
C3Z7T8,C3Z7T8_BRAFL,nan,BRAFL,1.0,1,,,,,,,,,,,,,
B0R2S6,MUTL_HALS3,nan,HALS3,1.0,,,,,,,,,,1,,,,
A9UV76,A9UV76_MONBE,nan,MONBE,1.0,,,,,,,,,,,,1,,
A9RF37,A9RF37_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
A8B4I6,A8B4I6_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
Q7SCN8,Q7SCN8_NEUCR,nan,NEUCR,1.0,,,,,,,,,,1,,,,
Q8TTB5,Q8TTB5_METAC,nan,METAC,1.0,,,,,,,,,,1,,,,
A7EFY5,A7EFY5_SCLS1,nan,SCLS1,1.0,,,,,,,,,,1,,,,
A2EG63,A2EG63_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
