ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A9VCJ8,A9VCJ8_MONBE,nan,MONBE,2.0,,,,,,1,,,,,1,,,
A2VE76,A2VE76_BOVIN,ENSBTAP00000013156,BOVIN,1.0,,,,,,,,,,,1,,,
P93654,SYP22_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q5AG87,Q5AG87_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
Q54JY7,STX7A_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q4QDK9,Q4QDK9_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
Q4PC25,Q4PC25_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q3ZBT5,STX7_BOVIN,ENSBTAP00000022780,BOVIN,1.0,,,,,,,,,,,1,,,
Q39233,SYP21_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q0UTT4,Q0UTT4_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
P32854,PEP12_YEAST,nan,YEAST,1.0,,,,,,,,,,,1,,,
Q5KMJ1,Q5KMJ1_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,1,,,
O94651,PEP12_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,1,,,
O88385,nan,nan,nan,1.0,,,,,,,,,,,1,,,
O70439,STX7_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
O70257,STX7_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
O62236,O62236_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
O15400,STX7_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q5ANM6,Q5ANM6_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
Q5RFY7,nan,nan,nan,1.0,,,,,,,,,,,1,,,
H2VEB1,H2VEB1_TAKRU,ENSTRUP00000047556,TAKRU,1.0,,,,,,,,,,,1,,,
Q96NA8,TSNA1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
nan,nan,ENSOANP00000022209,ORNAN,1.0,,,,,,,,,,,1,,,
nan,nan,ENSMODP00000010469,MONDO,1.0,,,,,,,,,,,1,,,
Q9VZC9,Q9VZC9_DROME,nan,DROME,1.0,,,,,,1,,,,,,,,
Q9VU45,Q9VU45_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q9ER00,STX12_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q9C615,SYP24_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q8X090,Q8X090_NEUCS,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q5ZMP2,Q5ZMP2_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
Q86Y82,STX12_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q7PZ47,Q7PZ47_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7PNQ5,Q7PNQ5_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7K0X9,Q7K0X9_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q6CB33,Q6CB33_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
Q6C677,Q6C677_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
O04378,SYP23_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
H2UWA7,H2UWA7_TAKRU,ENSTRUP00000041235,TAKRU,1.0,,,,,,,,,,,1,,,
A5PMJ7,A5PMJ7_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
H2UFJ9,H2UFJ9_TAKRU,ENSTRUP00000035719,TAKRU,1.0,,,,,,,,,,,1,,,
E2RT32,E2RT32_CANFA,ENSCAFP00000017700,CANFA,1.0,,,,,,,,,,,1,,,
E2RBQ9,E2RBQ9_CANFA,ENSCAFP00000001801,CANFA,1.0,,,,,,,,,,,1,,,
E2R4Q2,E2R4Q2_CANFA,ENSCAFP00000000264,CANFA,1.0,,,,,,,,,,,1,,,
E1C319,E1C319_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
E1BSB4,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4PYS0,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C3ZCV0,C3ZCV0_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3XVK7,C3XVK7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
B8LCN4,B8LCN4_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
B7QHE2,B7QHE2_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
B7P7R4,B7P7R4_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
B0Y5Q3,B0Y5Q3_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
A7SJJ7,A7SJJ7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7MAZ2,A7MAZ2_BOVIN,ENSBTAP00000001580,BOVIN,1.0,,,,,,,,,,,1,,,
A7EF86,A7EF86_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
E7F0D3,E7F0D3_DANRE,ENSDARP00000065513,DANRE,1.0,,,,,,,,,,,1,,,
F6QHD6,F6QHD6_ORNAN,ENSOANP00000013219,ORNAN,1.0,,,,,,,,,,,1,,,
F6VQZ5,F6VQZ5_XENTR,ENSXETP00000055888,XENTR,1.0,,,,,,,,,,,1,,,
F7E0Z1,F7E0Z1_MONDO,ENSMODP00000021893,MONDO,1.0,,,,,,,,,,,1,,,
H2UBE9,H2UBE9_TAKRU,ENSTRUP00000034267,TAKRU,1.0,,,,,,,,,,,1,,,
H2R9N2,H2R9N2_PANTR,ENSPTRP00000053028,PANTR,1.0,,,,,,,,,,,1,,,
H2QTR3,H2QTR3_PANTR,ENSPTRP00000031765,PANTR,1.0,,,,,,,,,,,1,,,
G3V7P1,STX12_RAT,ENSRNOP00000017227,RAT,1.0,,,,,,,,,,,1,,,
F7GMG0,F7GMG0_MACMU,ENSMMUP00000040477,MACMU,1.0,,,,,,,,,,,1,,,
F7GHA6,F7GHA6_MONDO,ENSMODP00000013400,MONDO,1.0,,,,,,,,,,,1,,,
F7E0A0,F7E0A0_ORNAN,ENSOANP00000016149,ORNAN,1.0,,,,,,,,,,,1,,,
F6VSJ7,F6VSJ7_MACMU,ENSMMUP00000014977,MACMU,1.0,,,,,,1,,,,,,,,
F7BS16,F7BS16_MACMU,ENSMMUP00000001918,MACMU,1.0,,,,,,,,,,,1,,,
F7ATP9,F7ATP9_MACMU,ENSMMUP00000006615,MACMU,1.0,,,,,,,,,,,1,,,
F7A3A6,F7A3A6_XENTR,ENSXETP00000031563,XENTR,1.0,,,,,,,,,,,1,,,
F6Y3U3,F6Y3U3_CIOIN,ENSCINP00000023435,CIOIN,1.0,,,,,,,,,,,1,,,
F6Y3T4,F6Y3T4_CIOIN,ENSCINP00000023436,CIOIN,1.0,,,,,,,,,,,1,,,
F6Y3I1,F6Y3I1_XENTR,ENSXETP00000050994,XENTR,1.0,,,,,,,,,,,1,,,
nan,nan,ENSPTRP00000052616,PANTR,1.0,,,,,,,,,,,1,,,
