ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7ADM8,F7ADM8_CIOIN,ENSCINP00000007559,CIOIN,6.0,,,1,1,,,,,,1,1,1,,1
A7S396,A7S396_NEMVE,nan,NEMVE,4.0,,,1,1,,,,,,1,1,,,
C3ZR56,C3ZR56_BRAFL,nan,BRAFL,3.0,,,,1,,,,,,,,1,,1
E1BZL6,nan,nan,nan,2.0,,,,1,,,,,,1,,,,
F7E1T9,F7E1T9_XENTR,ENSXETP00000009692,XENTR,1.0,,,,,,,,,,,1,,,
F7EL39,F7EL39_MACMU,ENSMMUP00000004416,MACMU,1.0,,,,,,,,,,1,,,,
F7G7C7,F7G7C7_MONDO,ENSMODP00000001478,MONDO,1.0,,,,,,,,,,,1,,,
F7H635,F7H635_MACMU,ENSMMUP00000000172,MACMU,1.0,,,,,,,,,,,1,,,
F7H7B4,F7H7B4_MACMU,ENSMMUP00000015506,MACMU,1.0,,,,,,,,,,1,,,,
H2V9L4,H2V9L4_TAKRU,ENSTRUP00000045904,TAKRU,1.0,,,,,,,,,,,1,,,
H2QRF5,H2QRF5_PANTR,ENSPTRP00000029432,PANTR,1.0,,,,,,,,,,1,,,,
H2R0B9,H2R0B9_PANTR,ENSPTRP00000040491,PANTR,1.0,,,,,,,,,,,1,,,
F7DU98,F7DU98_XENTR,ENSXETP00000001339,XENTR,1.0,,,,,,,,,,,1,,,
H2R862,H2R862_PANTR,ENSPTRP00000051234,PANTR,1.0,,,,,,,,,,1,,,,
H2RM12,H2RM12_TAKRU,ENSTRUP00000001175,TAKRU,1.0,,,,,,,,,,1,,,,
H2UJJ0,H2UJJ0_TAKRU,ENSTRUP00000037111,TAKRU,1.0,,,,,,,,,,,1,,,
H2UTR3,H2UTR3_TAKRU,ENSTRUP00000040337,TAKRU,1.0,,,,,,,,,,,1,,,
H2Q1U0,H2Q1U0_PANTR,ENSPTRP00000004189,PANTR,1.0,,,,,,,,,,,1,,,
A1L0Y7,A1L0Y7_XENTR,ENSXETP00000040600,XENTR,1.0,,,,,,,,,,1,,,,
F7ALM7,F7ALM7_MONDO,ENSMODP00000015079,MONDO,1.0,,,,,,,,,,1,,,,
Q5DTK1,CHSS3_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q5TX52,Q5TX52_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q6P296,Q6P296_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
Q6ZQ11,CHSS1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q70JA7,CHSS3_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q7PMP8,Q7PMP8_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q86X52,CHSS1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q8BJQ9,CGAT1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q8C1F4,CGAT2_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q8N6G5,CGAT2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q8TDX6,CGAT1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q9VYH2,Q9VYH2_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
nan,nan,ENSCAFP00000001040,CANFA,1.0,,,,,,,,,,1,,,,
P45895,CHSS2_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
F6ZPH4,F6ZPH4_ORNAN,ENSOANP00000005023,ORNAN,1.0,,,,,,,,,,,1,,,
A1Z863,A1Z863_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
D3ZUB2,nan,nan,nan,1.0,,,,,,,,,,1,,,,
A7RGI9,A7RGI9_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A8E7C8,A8E7C8_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
A9V4Z4,A9V4Z4_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9V675,A9V675_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
A9VB29,A9VB29_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
B5DEY9,B5DEY9_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
B7Q2Y7,B7Q2Y7_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
C3XQE4,C3XQE4_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3Z423,C3Z423_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C3ZRP6,C3ZRP6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C3ZXI1,C3ZXI1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
D3ZRM3,D3ZRM3_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
D4A5Z0,D4A5Z0_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
F6WCM8,F6WCM8_ORNAN,ENSOANP00000008537,ORNAN,1.0,,,,,,,,,,,1,,,
E1B7B3,E1B7B3_BOVIN,ENSBTAP00000006810,BOVIN,1.0,,,,,,,,,,,1,,,
E1C2T4,E1C2T4_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
E2QVT0,E2QVT0_CANFA,ENSCAFP00000007971,CANFA,1.0,,,,,,,,,,,1,,,
E2QWQ7,E2QWQ7_CANFA,ENSCAFP00000015558,CANFA,1.0,,,,,,,,,,1,,,,
E2RAD6,E2RAD6_CANFA,ENSCAFP00000010485,CANFA,1.0,,,,,,,,,,,1,,,
E7F6G2,E7F6G2_DANRE,ENSDARP00000059321,DANRE,1.0,,,,,,,,,,,1,,,
F1MU32,F1MU32_BOVIN,ENSBTAP00000006052,BOVIN,1.0,,,,,,,,,,,1,,,
F1N783,F1N783_BOVIN,ENSBTAP00000041677,BOVIN,1.0,,,,,,,,,,1,,,,
F1NB01,F1NB01_CHICK,ENSGALP00000016448,CHICK,1.0,,,,,,,,,,,1,,,
F6PU96,F6PU96_BOVIN,ENSBTAP00000009678,BOVIN,1.0,,,,,,,,,,1,,,,
F6R8K7,F6R8K7_MONDO,ENSMODP00000012436,MONDO,1.0,,,,,,,,,,,1,,,
F6S273,F6S273_MACMU,ENSMMUP00000020198,MACMU,1.0,,,,,,,,,,,1,,,
nan,nan,ENSGALP00000011577,CHICK,1.0,,,,,,,,,,1,,,,
