ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSCINP00000011788,CIOIN,11.0,,,1,1,,1,1,1,1,1,1,1,1,1
Q551C0,Q551C0_DICDI,nan,DICDI,7.0,,,,1,,1,,1,1,,1,1,1,
C4Q8Q9,nan,nan,nan,6.0,,,,,,1,,1,,1,1,1,,1
Q5TUF0,Q5TUF0_ANOGA,nan,ANOGA,5.0,,,,,,1,,1,,,1,,1,1
Q94225,SULP3_CAEEL,nan,CAEEL,5.0,,,,,,,,1,,1,1,1,1,
Q8TPB4,Q8TPB4_METAC,nan,METAC,5.0,,,,1,,,,1,,,1,1,1,
Q89PK7,Q89PK7_BRADU,nan,BRADU,5.0,,,,,,,,1,1,,1,1,1,
Q4Q897,Q4Q897_LEIMA,nan,LEIMA,5.0,,,,,,1,,1,,,1,1,1,
P71997,nan,nan,nan,4.0,,,,,,,,1,,,1,1,1,
P72770,P72770_SYNY3,nan,SYNY3,4.0,,,,,,,,,1,,1,1,1,
Q23167,nan,nan,nan,4.0,,,,,,,,1,,,1,1,1,
Q74AP0,Q74AP0_GEOSL,nan,GEOSL,4.0,,,,,,,,,1,,1,1,1,
Q5TUJ1,Q5TUJ1_ANOGA,nan,ANOGA,4.0,,,,,,,,1,,,1,,1,1
Q7QDP6,Q7QDP6_ANOGA,nan,ANOGA,4.0,,,,,,,,1,,,1,,1,1
Q8GYH8,SUT42_ARATH,nan,ARATH,4.0,,,,,,,,1,1,,1,1,,
Q9FY46,SUT41_ARATH,nan,ARATH,4.0,,,,,,,,1,1,,1,1,,
Q9VVM6,Q9VVM6_DROME,nan,DROME,4.0,,,,,,,,1,,,1,,1,1
O17950,nan,nan,nan,4.0,,,,,,,,1,,,1,1,1,
O17951,O17951_CAEEL,nan,CAEEL,4.0,,,1,,,,,1,,,1,,1,
B7QMD0,B7QMD0_IXOSC,nan,IXOSC,4.0,,,,,,,,1,,,1,,1,1
A9WC90,A9WC90_CHLAA,nan,CHLAA,4.0,,,,,,,,,1,,1,1,1,
B7Q4G2,B7Q4G2_IXOSC,nan,IXOSC,4.0,,,,,,,,1,,,1,,1,1
A6V7E4,A6V7E4_PSEA7,nan,PSEA7,4.0,,,,,,,,1,,,1,1,1,
Q9FEP7,SUT13_ARATH,nan,ARATH,3.0,,,,,,,,1,1,,1,,,
B7PRR7,B7PRR7_IXOSC,nan,IXOSC,3.0,,,,,,,,,,,1,,1,1
Q89RC4,Q89RC4_BRADU,nan,BRADU,3.0,,,,,,,,1,,,1,1,,
Q19447,nan,nan,nan,3.0,,,,,,,,,,,1,1,1,
A7RG03,A7RG03_NEMVE,nan,NEMVE,3.0,,,,,,,,1,,1,1,,,
Q94LW6,SUT35_ARATH,nan,ARATH,3.0,,,,,,,,1,,,1,1,,
Q55FJ8,Q55FJ8_DICDI,nan,DICDI,3.0,,,,,,,,1,1,,1,,,
Q89FZ3,Q89FZ3_BRADU,nan,BRADU,3.0,,,,,,,,,,,1,1,1,
Q23454,nan,nan,nan,3.0,,,,,,,,1,,,1,,1,
Q9MAX3,SUT12_ARATH,nan,ARATH,3.0,,,,,,,,1,1,,1,,,
Q9SAY1,SUT11_ARATH,nan,ARATH,3.0,,,,,,,,1,1,,1,,,
Q9SV13,SUT31_ARATH,nan,ARATH,3.0,,,,,,,,1,1,,1,,,
O67306,O67306_AQUAE,nan,AQUAE,3.0,,,,,,,,,,,1,1,1,
O04289,SUT32_ARATH,nan,ARATH,3.0,,,,,,,,1,1,,1,,,
B0G157,B0G157_DICDI,nan,DICDI,2.0,,,,,,,,1,1,,,,,
C3YUE4,C3YUE4_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,,,,,1
C3YUF1,C3YUF1_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,,,,,1
Q0U4J2,Q0U4J2_PHANO,nan,PHANO,2.0,,,,,,1,,1,,,,,,
P58743,S26A5_HUMAN,nan,HUMAN,2.0,,,,,,,,1,,,,,,1
A9WK11,A9WK11_CHLAA,nan,CHLAA,2.0,,,,1,,,,,,,1,,,
A9RQW1,A9RQW1_PHYPA,nan,PHYPA,2.0,,,,,,,,,1,,1,,,
Q58QG7,nan,nan,nan,2.0,,,,,,,,,,,1,,1,
A9S7B7,A9S7B7_PHYPA,nan,PHYPA,2.0,,,,,,,,,1,,1,,,
A9S391,A9S391_PHYPA,nan,PHYPA,2.0,,,,,,,,,1,,1,,,
A9RIY8,A9RIY8_PHYPA,nan,PHYPA,2.0,,,,,,,,,1,,1,,,
Q8NG04,S2610_HUMAN,nan,HUMAN,2.0,,,,,,,,,,1,1,,,
Q99NH7,S26A5_MOUSE,nan,MOUSE,2.0,,,,,,,,1,,,,,,1
Q9BXS9,S26A6_HUMAN,nan,HUMAN,2.0,,,,,,,,1,,,,,,1
Q9LW86,SUT34_ARATH,nan,ARATH,2.0,,,,,,,,1,,,1,,,
Q9SXS2,SUT33_ARATH,nan,ARATH,2.0,,,,,,,,1,,,1,,,
A6UX91,A6UX91_PSEA7,nan,PSEA7,2.0,,,,,,,,1,,,1,,,
nan,nan,ENSCAFP00000004817,CANFA,2.0,,,,,,,,,,1,1,,,
O45016,O45016_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
P92946,SUT22_ARATH,nan,ARATH,2.0,,,,,,,,1,,,1,,,
