ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9W3R7,ATG5_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7CH17,F7CH17_MACMU,ENSMMUP00000025856,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6TH46,Q6TH46_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7QGY1,Q7QGY1_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q99J83,ATG5_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9H1Y0,ATG5_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q3V5I7,Q3V5I7_CAEEL,nan,CAEEL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q3MQ06,ATG5_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7SNR5,A7SNR5_NEMVE,nan,NEMVE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2RL07,H2RL07_TAKRU,ENSTRUP00000000820,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G8JKW2,G8JKW2_BOVIN,ENSBTAP00000007100,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QTH2,H2QTH2_PANTR,ENSPTRP00000031526,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7A3K6,F7A3K6_ORNAN,ENSOANP00000006175,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6ZX01,F6ZX01_MONDO,ENSMODP00000022479,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6V678,F6V678_CANFA,ENSCAFP00000005515,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3ZNT2,C3ZNT2_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B1WB05,B1WB05_XENTR,ENSXETP00000018985,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5ZHW2,Q5ZHW2_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O74971,ATG5_SCHPO,nan,SCHPO,13.0,1,,1,1,1,1,1,1,1,1,1,1,1,1
Q0UXN8,ATG5_PHANO,nan,PHANO,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
B7QF57,B7QF57_IXOSC,nan,IXOSC,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q9FFI2,ATG5_ARATH,nan,ARATH,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
C4QII2,C4QII2_SCHMA,nan,SCHMA,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
B0Y789,B0Y789_ASPFC,nan,ASPFC,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
A9TGT1,A9TGT1_PHYPA,nan,PHYPA,12.0,1,1,,1,1,1,1,1,1,1,1,,1,1
Q6C4Q6,ATG5_YARLI,nan,YARLI,11.0,1,,,1,1,1,1,1,1,1,1,1,1,
A7EJG6,ATG5_SCLS1,nan,SCLS1,11.0,1,,,1,1,1,1,,1,1,1,1,1,1
Q59VY1,ATG5_CANAL,nan,CANAL,11.0,1,,,1,1,1,1,1,1,1,1,1,1,
Q54GT9,ATG5_DICDI,nan,DICDI,11.0,1,1,,1,1,1,1,,,1,1,1,1,1
Q12380,ATG5_YEAST,nan,YEAST,10.0,1,,,1,1,1,1,,1,1,1,1,1,
Q5K6S9,nan,nan,nan,9.0,1,,,1,1,1,1,,1,,1,1,1,
Q872C6,ATG5_NEUCR,nan,NEUCR,8.0,1,,,,1,,,,1,1,1,1,1,1
Q8ILG0,Q8ILG0_PLAF7,nan,PLAF7,2.0,,,,,1,,,,,,1,,,
Q4Q7K5,Q4Q7K5_LEIMA,nan,LEIMA,1.0,,,,,,1,,,,,,,,
Q4PC35,Q4PC35_USTMA,nan,USTMA,1.0,,,,,,,,,,,,1,,
