ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2TND3,H2TND3_TAKRU,ENSTRUP00000026189,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6WF10,F6WF10_ORNAN,ENSOANP00000008175,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9Y4F3,MARF1_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8VIG2,MARF1_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8BJ34,MARF1_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QAM6,H2QAM6_PANTR,ENSPTRP00000013317,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7FJ51,F7FJ51_MACMU,ENSMMUP00000023699,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BP74,MARF1_BOVIN,ENSBTAP00000027175,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BZ85,MARF1_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2R571,E2R571_CANFA,ENSCAFP00000027641,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6SD01,F6SD01_MONDO,ENSMODP00000005447,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7KWG9,Q7KWG9_DROME,nan,DROME,9.0,1,1,,,1,1,1,1,,1,1,1,,
Q7Q3D5,Q7Q3D5_ANOGA,nan,ANOGA,8.0,1,1,,,1,1,1,1,,1,1,,,
Q4PH78,Q4PH78_USTMA,nan,USTMA,5.0,,,,,1,1,1,1,,,1,,,
F7BAC4,F7BAC4_CIOIN,ENSCINP00000001743,CIOIN,5.0,,,,,,1,1,1,,1,,1,,
A7RJU6,A7RJU6_NEMVE,nan,NEMVE,5.0,,,,,,1,1,1,,1,,1,,
B7QJN0,B7QJN0_IXOSC,nan,IXOSC,5.0,,,,,,1,1,1,,1,,1,,
B2GUN4,MARF1_XENTR,ENSXETP00000012160,XENTR,5.0,,,,,,1,1,1,,1,,1,,
nan,nan,ENSRNOP00000051069,RAT,4.0,,,,,,,,,,1,1,1,,1
Q6NQ97,Q6NQ97_ARATH,nan,ARATH,3.0,,,,,1,,1,,,,1,,,
F7BG98,F7BG98_XENTR,ENSXETP00000012162,XENTR,3.0,,,,,,,,,,1,,1,,1
Q9M1Q3,Q9M1Q3_ARATH,nan,ARATH,3.0,,,,,,1,,,,,1,,,1
B7PJ66,B7PJ66_IXOSC,nan,IXOSC,2.0,,,,,,,,,,1,,,,1
A9REC6,A9REC6_PHYPA,nan,PHYPA,2.0,,,,,,1,,,,,1,,,
Q55DB7,Q55DB7_DICDI,nan,DICDI,2.0,,,,,,1,,,,,,,,1
A9THM8,A9THM8_PHYPA,nan,PHYPA,2.0,,,,,,,,,,,1,,,1
A9SRF2,A9SRF2_PHYPA,nan,PHYPA,2.0,,,,,1,,,,,,1,,,
A9S8X5,A9S8X5_PHYPA,nan,PHYPA,2.0,,,,,,,1,,,,1,,,
Q9M1Q4,Q9M1Q4_ARATH,nan,ARATH,2.0,,,,,,,,,,,1,,,1
Q9LR50,Q9LR50_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9SUH0,Q9SUH0_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9LZI1,Q9LZI1_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q8RX61,Q8RX61_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9FIC2,Q9FIC2_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9FGF1,Q9FGF1_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
A9S3H3,A9S3H3_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
A9RC16,A9RC16_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
B7Q552,B7Q552_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
Q3E859,nan,nan,nan,1.0,,,,,,,,,,,1,,,
Q8H1G2,Q8H1G2_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
