ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSPTRP00000053130,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSMODP00000008204,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q62393,TPD52_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q3ZCA8,Q3ZCA8_BOVIN,ENSBTAP00000037099,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P55327,TPD52_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1P9Y5,F1P9Y5_CANFA,ENSCAFP00000012355,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5ZHP4,Q5ZHP4_CHICK,nan,CHICK,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
D3ZVP2,nan,nan,nan,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
F6PYF5,F6PYF5_MACMU,ENSMMUP00000032067,MACMU,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
F6ZK77,F6ZK77_XENTR,ENSXETP00000022867,XENTR,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
H2UK25,H2UK25_TAKRU,ENSTRUP00000037296,TAKRU,11.0,1,1,,,1,1,1,1,,1,1,1,1,1
A3KNM2,A3KNM2_DANRE,nan,DANRE,11.0,1,1,,,1,1,1,1,1,1,1,1,1,
P55326,YZG1_CAEEL,nan,CAEEL,9.0,,1,,,,1,1,1,1,1,1,1,1,
F6WAB8,F6WAB8_ORNAN,ENSOANP00000015906,ORNAN,9.0,1,1,,,1,1,1,1,,1,1,1,,
Q7Q973,Q7Q973_ANOGA,nan,ANOGA,5.0,,,,,,,,,1,,1,1,1,1
A1ZB83,A1ZB83_DROME,nan,DROME,5.0,,,,,,,,,1,,1,1,1,1
B7PKA9,B7PKA9_IXOSC,nan,IXOSC,5.0,,,,,,,,,1,,1,1,1,1
C4QEZ3,nan,nan,nan,3.0,,,,,,,,,1,,1,1,,
A7SI28,A7SI28_NEMVE,nan,NEMVE,3.0,,,,,,,,,,1,,1,1,
F7BLZ6,F7BLZ6_CIOIN,ENSCINP00000012476,CIOIN,2.0,,,,,,,,,,,,1,1,
C4QEZ4,nan,nan,nan,2.0,,,,,,,,,1,,,1,,
C1LZZ9,nan,nan,nan,2.0,,,,,,,,,,,1,1,,
C4QEZ5,nan,nan,nan,1.0,,,,,,,,,1,,,,,
A7UTD7,A7UTD7_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
F6VG04,F6VG04_XENTR,ENSXETP00000047229,XENTR,1.0,,,,,,,,,,1,,,,
