ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9H607,OCEL1_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1PRC6,F1PRC6_CANFA,ENSCAFP00000022820,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QFQ3,H2QFQ3_PANTR,ENSPTRP00000018193,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7HKT4,F7HKT4_MACMU,ENSMMUP00000015648,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B5DFM2,B5DFM2_RAT,nan,RAT,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q8VCR9,OCEL1_MOUSE,nan,MOUSE,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
F6RA30,F6RA30_BOVIN,ENSBTAP00000044623,BOVIN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F7G5C5,F7G5C5_MONDO,ENSMODP00000018806,MONDO,8.0,1,1,,,,1,1,1,,,,1,1,1
C1M0D8,nan,nan,nan,3.0,,,,,,,,,,1,1,1,,
C3YQ98,C3YQ98_BRAFL,nan,BRAFL,3.0,,,,,,,,,,1,1,,1,
A7SYM2,A7SYM2_NEMVE,nan,NEMVE,3.0,,,,,,,,,,1,1,1,,
Q95VE6,nan,nan,nan,3.0,,,,,,,,,,1,1,1,,
Q7PMS0,Q7PMS0_ANOGA,nan,ANOGA,3.0,,,,,,,,,,1,1,1,,
C1M0D7,nan,nan,nan,2.0,,,,,,,,,,1,1,,,
B7PDX2,B7PDX2_IXOSC,nan,IXOSC,2.0,,,,,,,,,,1,,1,,
F7BJK6,F7BJK6_XENTR,ENSXETP00000039416,XENTR,2.0,,,,,,,,,,,1,1,,
B0UXT0,B0UXT0_DANRE,nan,DANRE,2.0,,,,,,,,,,,1,1,,
H2TBV1,H2TBV1_TAKRU,ENSTRUP00000022143,TAKRU,2.0,,,,,,,,,,,1,1,,
H2VE97,H2VE97_TAKRU,ENSTRUP00000047542,TAKRU,1.0,,,,,,,,,,,1,,,
Q32PL4,Q32PL4_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
A2BGQ4,A2BGQ4_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
H2T031,H2T031_TAKRU,ENSTRUP00000018019,TAKRU,1.0,,,,,,,,,,,,,1,
H2SLP3,H2SLP3_TAKRU,ENSTRUP00000013329,TAKRU,1.0,,,,,,,,,,,1,,,
F6SYH6,F6SYH6_MONDO,ENSMODP00000024224,MONDO,1.0,,,,,,,,,,,1,,,
A9JTT4,A9JTT4_XENTR,ENSXETP00000029665,XENTR,1.0,,,,,,,,,,,,1,,
F7ESR0,F7ESR0_ORNAN,ENSOANP00000002587,ORNAN,1.0,,,,,,,,,,,1,,,
