ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2ATH5,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
D3ZAM4,D3ZAM4_RAT,ENSRNOP00000012187,RAT,2.0,,,,,,,,,,,,1,1,
E1BN45,E1BN45_BOVIN,ENSBTAP00000042050,BOVIN,2.0,,,,,,,,,,,,1,1,
E1BVT5,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
E1BZ83,E1BZ83_CHICK,nan,CHICK,2.0,,,,,,,,,,,,1,1,
E2RKV2,E2RKV2_CANFA,ENSCAFP00000010561,CANFA,2.0,,,,,,,,,,,,1,1,
E7EYK9,E7EYK9_DANRE,ENSDARP00000086332,DANRE,2.0,,,,,,,,,,,,1,1,
F6RBA8,F6RBA8_MONDO,ENSMODP00000024295,MONDO,2.0,,,,,,,,,,,,1,1,
F7BZT6,F7BZT6_XENTR,ENSXETP00000005442,XENTR,2.0,,,,,,,,,,,,1,1,
H2QK58,H2QK58_PANTR,ENSPTRP00000022923,PANTR,2.0,,,,,,,,,,,,1,1,
H2T1J1,H2T1J1_TAKRU,ENSTRUP00000018529,TAKRU,2.0,,,,,,,,,,,,1,1,
Q9NUG4,CCM2L_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
C3ZRW2,C3ZRW2_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
F7HRT3,F7HRT3_MACMU,ENSMMUP00000022926,MACMU,1.0,,,,,,,,,,,,1,,
H2RNB6,H2RNB6_TAKRU,ENSTRUP00000001629,TAKRU,1.0,,,,,,,,,,,,1,,
