ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B7PB74,B7PB74_IXOSC,nan,IXOSC,13.0,1,1,1,1,,1,1,1,1,1,1,1,1,1
F6US25,F6US25_CIOIN,ENSCINP00000009226,CIOIN,13.0,1,1,1,1,,1,1,1,1,1,1,1,1,1
A7SLK1,A7SLK1_NEMVE,nan,NEMVE,12.0,1,1,1,,,1,1,1,1,1,1,1,1,1
E7EXU7,E7EXU7_DANRE,ENSDARP00000048210,DANRE,11.0,1,1,,,,1,1,1,1,1,1,1,1,1
nan,nan,ENSXETP00000014763,XENTR,11.0,,1,1,,,1,1,1,1,1,1,1,1,1
nan,nan,ENSRNOP00000005295,RAT,11.0,,1,1,,,1,1,1,1,1,1,1,1,1
Q9W391,KPBA_DROME,nan,DROME,11.0,1,1,1,,,,1,1,1,1,1,1,1,1
F6Z9N4,F6Z9N4_ORNAN,ENSOANP00000006396,ORNAN,11.0,,1,1,,,1,1,1,1,1,1,1,1,1
Q8BWJ3,KPB2_MOUSE,nan,MOUSE,11.0,,1,1,,,1,1,1,1,1,1,1,1,1
F6UJJ9,F6UJJ9_MONDO,ENSMODP00000021354,MONDO,11.0,,1,1,,,1,1,1,1,1,1,1,1,1
P34335,KPBA_CAEEL,nan,CAEEL,10.0,,1,1,,,1,1,1,1,1,1,1,,1
F1MJI8,F1MJI8_BOVIN,ENSBTAP00000020422,BOVIN,10.0,,1,1,,,1,1,1,1,1,1,,1,1
H2SYZ3,H2SYZ3_TAKRU,ENSTRUP00000017631,TAKRU,9.0,,1,,,,1,,1,1,1,1,1,1,1
P46019,KPB2_HUMAN,nan,HUMAN,9.0,,,1,,,,1,1,1,1,1,1,1,1
F6SK82,F6SK82_MACMU,ENSMMUP00000009974,MACMU,9.0,,1,,,,,1,1,1,1,1,1,1,1
P46020,KPB1_HUMAN,nan,HUMAN,9.0,,1,,,,1,,1,1,1,1,1,1,1
E2REQ8,E2REQ8_CANFA,ENSCAFP00000019085,CANFA,9.0,,1,1,,,1,,1,1,1,1,,1,1
F7B2V1,F7B2V1_MACMU,ENSMMUP00000027017,MACMU,9.0,,,1,,,1,,1,1,1,1,1,1,1
C4QAR0,nan,nan,nan,9.0,1,1,1,,,,1,1,1,1,1,,,1
H2V3E8,H2V3E8_TAKRU,ENSTRUP00000043730,TAKRU,9.0,,,1,,,,1,1,1,1,1,1,1,1
E1BTZ6,E1BTZ6_CHICK,nan,CHICK,8.0,,,1,,,,,1,1,1,1,1,1,1
E1BQZ7,E1BQZ7_CHICK,nan,CHICK,8.0,,,,,,,1,1,1,1,1,1,1,1
H2QYD4,H2QYD4_PANTR,ENSPTRP00000037217,PANTR,8.0,,1,1,,,,,,1,1,1,1,1,1
H2QYT2,H2QYT2_PANTR,ENSPTRP00000037880,PANTR,8.0,,,,,,1,,1,1,1,1,1,1,1
P18826,KPB1_MOUSE,nan,MOUSE,7.0,,,,,,,,1,1,1,1,1,1,1
nan,nan,ENSXETP00000039296,XENTR,7.0,,,,,,,,1,1,1,1,1,1,1
F7BFJ2,F7BFJ2_ORNAN,ENSOANP00000022571,ORNAN,7.0,,,,,,,,1,1,1,1,1,1,1
E2RT46,E2RT46_CANFA,ENSCAFP00000025306,CANFA,7.0,,,,,,,1,1,1,1,1,,1,1
E1C8W9,nan,nan,nan,7.0,,,,,,1,1,1,1,1,,,1,1
C3XXS1,C3XXS1_BRAFL,nan,BRAFL,7.0,,1,1,,,,,1,,1,,1,1,1
G3X778,G3X778_BOVIN,ENSBTAP00000021068,BOVIN,6.0,,,,,,,,1,1,1,1,,1,1
F7E5F4,F7E5F4_MONDO,ENSMODP00000013888,MONDO,6.0,,,,,,,,1,1,1,1,,1,1
Q64649,KPB1_RAT,nan,RAT,6.0,,,,,,,,1,1,1,1,,1,1
C3YGB7,C3YGB7_BRAFL,nan,BRAFL,6.0,,,,,,1,1,1,,1,,1,,1
Q5TUN1,Q5TUN1_ANOGA,nan,ANOGA,5.0,,,,,,1,,1,,1,,1,,1
nan,nan,ENSCINP00000009220,CIOIN,3.0,,,,,,,,,,1,,1,,1
nan,nan,ENSXETP00000039270,XENTR,3.0,,,,,,,,,,1,,1,,1
F7G1G9,F7G1G9_ORNAN,ENSOANP00000026496,ORNAN,2.0,,,,,,,,,,1,,,,1
F6QC59,F6QC59_CIOIN,ENSCINP00000016940,CIOIN,1.0,,,,,,,,,,1,,,,
Q7PVH2,Q7PVH2_ANOGA,nan,ANOGA,1.0,,1,,,,,,,,,,,,
Q7QEC9,nan,nan,nan,1.0,,,,,,,,,,,,,,1
C3YEI5,C3YEI5_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
