ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2TFV7,H2TFV7_TAKRU,ENSTRUP00000023555,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5W433,Q5W433_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSXETP00000055183,XENTR,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F1MFF8,F1MFF8_BOVIN,ENSBTAP00000052366,BOVIN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F6WQ33,F6WQ33_MONDO,ENSMODP00000017334,MONDO,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F6WAA5,F6WAA5_MACMU,ENSMMUP00000023182,MACMU,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
P07722,MAG_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
P20916,MAG_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
nan,nan,ENSCAFP00000010467,CANFA,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
P20917,MAG_MOUSE,nan,MOUSE,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
H2R665,H2R665_PANTR,ENSPTRP00000048802,PANTR,5.0,,,,,,,1,,1,,,1,1,1
F7G1Y7,F7G1Y7_ORNAN,ENSOANP00000007106,ORNAN,5.0,,1,,,,1,1,1,,,1,,,
H2QH04,H2QH04_PANTR,ENSPTRP00000019553,PANTR,3.0,,,,,,1,,1,,,1,,,
H2QH08,H2QH08_PANTR,ENSPTRP00000019564,PANTR,2.0,,,,,,,,1,,,1,,,
H2QGZ8,H2QGZ8_PANTR,ENSPTRP00000019546,PANTR,2.0,,,,,,,,1,,,1,,,
L7N3E5,L7N3E5_XENTR,ENSXETP00000029758,XENTR,2.0,,,,,,,,,,1,1,,,
nan,nan,ENSPTRP00000019542,PANTR,2.0,,,,,,,,1,,,1,,,
nan,nan,ENSPTRP00000047107,PANTR,2.0,,,,,,,,1,,,1,,,
nan,nan,ENSPTRP00000054311,PANTR,2.0,,,,,,,,1,,,1,,,
H2R1W3,H2R1W3_PANTR,ENSPTRP00000042983,PANTR,2.0,,,,,,,,1,,,1,,,
H2QH05,H2QH05_PANTR,ENSPTRP00000019556,PANTR,2.0,,,,,,,,1,,,1,,,
nan,nan,ENSPTRP00000019541,PANTR,2.0,,,,,,,,1,,,1,,,
F7CH86,F7CH86_XENTR,ENSXETP00000032385,XENTR,2.0,,,,,,,,,,1,1,,,
H2QGZ7,H2QGZ7_PANTR,ENSPTRP00000019545,PANTR,2.0,,,,,,,,1,,,1,,,
F7CRI1,F7CRI1_XENTR,ENSXETP00000023862,XENTR,2.0,,,,,,,,,,1,1,,,
H2QGX2,H2QGX2_PANTR,ENSPTRP00000019458,PANTR,2.0,,,,,,,,1,,,1,,,
H2QGX1,H2QGX1_PANTR,ENSPTRP00000019457,PANTR,2.0,,,,,,,,1,,,1,,,
O15389,SIGL5_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
H2R5V8,H2R5V8_PANTR,ENSPTRP00000048513,PANTR,1.0,,,,,,,,,,,1,,,
nan,nan,ENSRNOP00000061414,RAT,1.0,,,,,,,,,,,1,,,
H2QG24,H2QG24_PANTR,ENSPTRP00000018557,PANTR,1.0,,,,,,,,,,,1,,,
H2V1L5,H2V1L5_TAKRU,ENSTRUP00000043095,TAKRU,1.0,,,,,,,,,,,,1,,
L7N388,L7N388_XENTR,ENSXETP00000023866,XENTR,1.0,,,,,,,,,,,1,,,
G5E5N4,G5E5N4_BOVIN,ENSBTAP00000026431,BOVIN,1.0,,,,,,,,,,,1,,,
L7N3E6,L7N3E6_XENTR,ENSXETP00000029760,XENTR,1.0,,,,,,,,,,1,,,,
Q9XXD7,Q9XXD7_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
O43699,SIGL6_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q9VFU7,Q9VFU7_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
Q7PUQ1,Q7PUQ1_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
Q9NYZ4,SIGL8_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q96RL6,SIG11_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q96PQ1,SIG12_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q96LC7,SIG10_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q920G3,SIGL5_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q91Y57,SIG12_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q8N7X8,SIGL1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q80ZE3,Q80ZE3_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q7PWJ1,Q7PWJ1_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
Q7PUJ2,Q7PUJ2_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
P20138,CD33_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q9Y286,SIGL7_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q9Y336,SIGL9_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q1ENI8,PXDN_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q09970,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q09024,IMPL2_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
F7GW74,F7GW74_MACMU,ENSMMUP00000027786,MACMU,1.0,,,,,,,,,,,1,,,
nan,nan,ENSCAFP00000004228,CANFA,1.0,,,,,,,,,,,1,,,
nan,nan,ENSCINP00000018211,CIOIN,1.0,,,,,,,,,,,,,1,
P20273,CD22_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
P35329,CD22_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
A2RSL7,A2RSL7_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
F7EUR6,F7EUR6_MACMU,ENSMMUP00000023372,MACMU,1.0,,,,,,,,,,,1,,,
F1MQN7,F1MQN7_BOVIN,ENSBTAP00000048832,BOVIN,1.0,,,,,,,,,,,1,,,
F1M8J5,F1M8J5_RAT,ENSRNOP00000040647,RAT,1.0,,,,,,,,,,,1,,,
E2R3C7,E2R3C7_CANFA,ENSCAFP00000004171,CANFA,1.0,,,,,,,,,,,1,,,
E1C1F3,nan,nan,nan,1.0,,,,,,,,,,,,1,,
E1BUX9,nan,nan,nan,1.0,,,,,,,,,,,,1,,
E1BKZ8,E1BKZ8_BOVIN,ENSBTAP00000011656,BOVIN,1.0,,,,,,,,,,,1,,,
