ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F1Q4E7,F1Q4E7_CANFA,ENSCAFP00000023250,CANFA,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F7AGL6,F7AGL6_MONDO,ENSMODP00000035063,MONDO,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F7CFS6,F7CFS6_ORNAN,ENSOANP00000025052,ORNAN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
H2Q1F8,H2Q1F8_PANTR,ENSPTRP00000003685,PANTR,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q5SY80,CA101_HUMAN,nan,HUMAN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
D3YZ11,nan,nan,nan,11.0,1,1,1,1,,1,,1,1,1,,1,1,1
E1BME4,E1BME4_BOVIN,ENSBTAP00000053235,BOVIN,11.0,1,1,1,1,,1,1,1,1,1,,1,1,
F6R818,F6R818_MACMU,ENSMMUP00000037512,MACMU,11.0,1,1,1,1,,1,1,1,1,1,,1,,1
E1C4D2,E1C4D2_CHICK,nan,CHICK,6.0,1,1,,,,1,1,,1,,,1,,
A7SR67,A7SR67_NEMVE,nan,NEMVE,5.0,,,,,,1,1,1,,1,,,,1
C3Z1J6,C3Z1J6_BRAFL,nan,BRAFL,5.0,1,,,,,1,1,,,1,,,,1
D4A7Y3,D4A7Y3_RAT,nan,RAT,4.0,,,,,,1,1,1,,1,,,,
B2RW93,B2RW93_MOUSE,nan,MOUSE,1.0,,,,,,,1,,,,,,,
D4A7Y3,D4A7Y3_RAT,ENSRNOP00000054661,RAT,1.0,,,,,,,,,,,,1,,
