ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2RX92,H2RX92_TAKRU,ENSTRUP00000004762,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2R7X8,E2R7X8_CANFA,ENSCAFP00000009179,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8NEM7,SP20H_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7TT00,SP20H_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2Q7F7,H2Q7F7_PANTR,ENSPTRP00000009858,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7EMN1,F7EMN1_MACMU,ENSMMUP00000004795,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6Y055,F6Y055_ORNAN,ENSOANP00000024411,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6XMB7,F6XMB7_MONDO,ENSMODP00000012630,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1MFY8,F1MFY8_BOVIN,ENSBTAP00000015749,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q66HC7,SP20H_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
B7P942,B7P942_IXOSC,nan,IXOSC,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
Q7PUY9,Q7PUY9_ANOGA,nan,ANOGA,11.0,1,1,,,1,1,1,1,,1,1,1,1,1
Q9VU86,Q9VU86_DROME,nan,DROME,10.0,1,1,,,1,1,1,1,,1,1,1,,1
E1BUV2,nan,nan,nan,10.0,,,1,,1,1,1,1,1,,1,1,1,1
A7RVR1,A7RVR1_NEMVE,nan,NEMVE,9.0,1,1,,,,1,1,1,,1,,1,1,1
C3XXU0,C3XXU0_BRAFL,nan,BRAFL,7.0,1,1,,,1,,,,1,1,1,,,1
F6ZUE4,F6ZUE4_CIOIN,ENSCINP00000021887,CIOIN,6.0,,,,,,1,1,1,,1,,1,,1
Q6DIL1,Q6DIL1_XENTR,ENSXETP00000003821,XENTR,6.0,,,,,,1,1,1,,1,,1,,1
Q5ZM71,SP20H_CHICK,nan,CHICK,6.0,,,,,,,,1,1,1,,1,1,1
A9S6Q3,A9S6Q3_PHYPA,nan,PHYPA,5.0,1,1,,,,1,1,,,,,,,1
C3XXU2,C3XXU2_BRAFL,nan,BRAFL,5.0,,,,,,1,1,1,,,,1,,1
Q3ZLR7,SP201_HUMAN,nan,HUMAN,3.0,,,,,,,,,,,1,1,1,
E1BNS4,E1BNS4_BOVIN,ENSBTAP00000038778,BOVIN,3.0,,,,,,,,,,,1,1,1,
E1BLA7,E1BLA7_BOVIN,ENSBTAP00000008370,BOVIN,3.0,,,,,,,,,,,1,1,1,
E1BJ71,E1BJ71_BOVIN,ENSBTAP00000048167,BOVIN,3.0,,,,,,,,,,,1,1,1,
P0C7V6,SP202_HUMAN,nan,HUMAN,3.0,,,,,,,,,,,1,1,1,
E2R7E0,E2R7E0_CANFA,ENSCAFP00000020091,CANFA,3.0,,,,,,,,,,,1,1,1,
Q5KC32,Q5KC32_CRYNJ,nan,CRYNJ,3.0,1,,,,,1,1,,,,,,,
Q4P7C4,Q4P7C4_USTMA,nan,USTMA,2.0,1,,,,,,,,1,,,,,
E2RMK4,E2RMK4_CANFA,ENSCAFP00000019791,CANFA,2.0,,,,,,,,,,,,1,1,
O14174,SPT20_SCHPO,nan,SCHPO,2.0,1,,,,,,,,1,,,,,
L7N0N8,L7N0N8_CANFA,ENSCAFP00000034854,CANFA,2.0,,,,,,,,,,,,1,1,
Q5A2B9,SPT20_CANAL,nan,CANAL,1.0,,,,,,,,,1,,,,,
Q5A2H1,nan,nan,nan,1.0,,,,,,,,,1,,,,,
Q498N0,Q498N0_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
Q0V0V1,Q0V0V1_PHANO,nan,PHANO,1.0,,,,,,,,,1,,,,,
P50875,SPT20_YEAST,nan,YEAST,1.0,,,,,,,,,1,,,,,
Q6CD38,Q6CD38_YARLI,nan,YARLI,1.0,,,,,,,,,1,,,,,
Q7RW25,Q7RW25_NEUCR,nan,NEUCR,1.0,,,,,,,,,1,,,,,
B0XNW9,B0XNW9_ASPFC,nan,ASPFC,1.0,,,,,,,,,1,,,,,
F6ZUE9,F6ZUE9_CIOIN,ENSCINP00000021886,CIOIN,1.0,,,,,,,,,1,,,,,
A7E5C1,A7E5C1_SCLS1,nan,SCLS1,1.0,,,,,,,,,1,,,,,
