ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSOANP00000014504,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1Q2H9,F1Q2H9_CANFA,ENSCAFP00000023305,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q92731,ESR2_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2Q8G2,H2Q8G2_PANTR,ENSPTRP00000010911,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9XSB5,ESR2_BOVIN,ENSBTAP00000005899,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6UFU5,F6UFU5_MACMU,ENSMMUP00000030079,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9PTU5,ESR2_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSMODP00000020875,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q59IV9,Q59IV9_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B2RUC6,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6V6U1,F6V6U1_XENTR,ENSXETP00000015773,XENTR,10.0,1,1,,,,1,1,1,1,1,,1,1,1
B8JJL4,B8JJL4_DANRE,nan,DANRE,10.0,,,,1,1,,1,1,1,1,1,1,1,1
Q98SM7,Q98SM7_DANRE,nan,DANRE,9.0,1,1,,,,1,,1,1,,1,1,1,1
H2SW13,H2SW13_TAKRU,ENSTRUP00000016601,TAKRU,9.0,,1,,,1,,1,1,1,,1,1,1,1
H2UDJ7,H2UDJ7_TAKRU,ENSTRUP00000035016,TAKRU,7.0,,,,,,1,,1,1,,1,1,1,1
C3XRB1,C3XRB1_BRAFL,nan,BRAFL,7.0,,,,,1,,,1,1,,1,1,1,1
Q7PUY0,Q7PUY0_ANOGA,nan,ANOGA,3.0,,,,,1,,,1,,,1,,,
Q21878,NHR1_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
Q21803,Q21803_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
Q21372,Q21372_CAEEL,nan,CAEEL,2.0,,,,,1,,,,,,1,,,
Q17589,Q17589_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
P90822,P90822_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
P41999,NHR10_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
O17013,O17013_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
O17930,NH268_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
O17706,NH169_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
O17611,NH100_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
O16443,O16443_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
Q9XTJ4,NHR3_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
C3ZE20,C3ZE20_BRAFL,nan,BRAFL,2.0,,,,,,,,,,1,1,,,
B7Q7W9,B7Q7W9_IXOSC,nan,IXOSC,2.0,,,,,1,,,,,,1,,,
Q9XXM8,Q9XXM8_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
A7SVT5,A7SVT5_NEMVE,nan,NEMVE,2.0,,,,,1,,,,,,1,,,
Q8WS79,Q8WS79_DROME,nan,DROME,2.0,,,,,1,,,,,,1,,,
Q9U1U2,Q9U1U2_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q9N5H9,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q9XVK1,Q9XVK1_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q9GUI3,nan,nan,nan,1.0,,,,,,,,,,,,1,,
A7RUL3,A7RUL3_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q4H3F3,Q4H3F3_CIOIN,ENSCINP00000023836,CIOIN,1.0,,,,,,,,,,,,1,,
Q21805,Q21805_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
P91983,P91983_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
A7S1X5,A7S1X5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
O17932,O17932_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
O17931,NH197_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
O16388,O16388_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
O01929,NH153_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
B7P2R6,B7P2R6_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
A7S8Y8,A7S8Y8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
O61939,O61939_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
