ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
O04196,ISOA1_ARATH,nan,ARATH,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A9RYH5,A9RYH5_PHYPA,nan,PHYPA,13.0,1,1,1,1,1,1,1,1,1,1,1,,1,1
P73608,P73608_SYNY3,nan,SYNY3,8.0,1,,,,,,1,1,1,1,1,,1,1
P0A4Y4,nan,nan,nan,6.0,,1,1,,,,,1,,1,,1,,1
Q9RXP5,Q9RXP5_DEIRA,nan,DEIRA,6.0,,1,1,,,,,1,,1,,1,,1
Q7ULT9,Q7ULT9_RHOBA,nan,RHOBA,6.0,,1,1,1,,,,1,,1,,1,,
P15067,GLGX_ECOLI,nan,ECOLI,6.0,,1,,,,,,1,,1,,1,1,1
Q8TPB3,Q8TPB3_METAC,nan,METAC,6.0,,1,,1,,,,1,,1,,1,,1
A6V621,A6V621_PSEA7,nan,PSEA7,5.0,,,1,,,,,1,,1,,1,,1
P95868,P95868_SULSF,nan,SULSO,5.0,,,1,,,,1,1,,1,,,,1
Q8RFB4,Q8RFB4_FUSNN,nan,FUSNN,5.0,,,,,,,,1,,1,1,1,1,
Q9KY03,Q9KY03_STRCO,nan,STRCO,5.0,,1,,,,,1,1,,1,,,,1
Q9ADI1,Q9ADI1_STRCO,nan,STRCO,4.0,,,1,,,,,1,,1,,,,1
Q89FD2,Q89FD2_BRADU,nan,BRADU,4.0,,,,,,,,1,,1,,1,,1
Q7UH19,Q7UH19_RHOBA,nan,RHOBA,4.0,,,,,,,,,,1,,1,1,1
A9WHI0,A9WHI0_CHLAA,nan,CHLAA,4.0,,,,,,,,1,,1,,1,,1
Q9L1E9,Q9L1E9_STRCO,nan,STRCO,3.0,,,,,,,,1,,1,,,,1
Q7NKP6,Q7NKP6_GLOVI,nan,GLOVI,3.0,,,,,,,1,1,,,,1,,
Q3KMX9,Q3KMX9_CHLTA,nan,CHLTA,3.0,,,,,,,,1,,1,1,,,
P72691,P72691_SYNY3,nan,SYNY3,3.0,,,1,,,,,,,1,,1,,
Q74AJ6,Q74AJ6_GEOSL,nan,GEOSL,2.0,,,,,,,,,,,,1,1,
P39118,GLGB_BACSU,nan,BACSU,2.0,,,,,,,,,,,,1,1,
Q8X268,Q8X268_THEKO,nan,THEKO,2.0,1,1,,,,,,,,,,,,
O33840,PULA_THEMA,nan,THEMA,2.0,,,,1,,,,,,,1,,,
Q0UWD9,Q0UWD9_PHANO,nan,PHANO,1.0,,1,,,,,,,,,,,,
C0SPA0,PULA_BACSU,nan,BACSU,1.0,,,,,,,,,,,1,,,
A9V892,A9V892_MONBE,nan,MONBE,1.0,,,,,,,,,,,,1,,
Q9P6J3,MALT_SCHPO,nan,SCHPO,1.0,,,,,,1,,,,,,,,
B0XYQ3,B0XYQ3_ASPFC,nan,ASPFC,1.0,,,,,,,1,,,,,,,
B8DZZ2,B8DZZ2_DICTD,nan,DICTD,1.0,,,,,,,,,,,,1,,
B8E373,B8E373_DICTD,nan,DICTD,1.0,,,,,,,1,,,,,,,
Q8A762,Q8A762_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q54MA4,Q54MA4_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
Q89YP2,Q89YP2_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
P40884,IMA5_YEAST,nan,YEAST,1.0,,,,,,,1,,,,,,,
Q7QEJ8,Q7QEJ8_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q09840,AMY2_SCHPO,nan,SCHPO,1.0,,1,,,,,,,,,,,,
Q7NFD8,Q7NFD8_GLOVI,nan,GLOVI,1.0,,,,,,,,1,,,,,,
Q9VHX9,Q9VHX9_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
