ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9LNB6,HSOP1_ARATH,nan,ARATH,10.0,,,1,,1,,1,1,1,1,1,1,1,1
Q4QI58,Q4QI58_LEIMA,nan,LEIMA,8.0,,,,,1,,,1,1,1,1,1,1,1
Q54DA8,STIP1_DICDI,nan,DICDI,8.0,,,,,1,,,1,1,1,1,1,1,1
F7GVS6,F7GVS6_MACMU,ENSMMUP00000017002,MACMU,7.0,,,,,1,,1,1,,1,1,1,1,
A2FV69,A2FV69_TRIVA,nan,TRIVA,7.0,,,1,,1,,,1,1,,1,,1,1
Q9USI5,STI1_SCHPO,nan,SCHPO,7.0,,,1,,1,,,1,1,,1,1,1,
P15705,STI1_YEAST,nan,YEAST,7.0,,,1,,1,,,1,1,,1,1,1,
H2S507,H2S507_TAKRU,ENSTRUP00000007479,TAKRU,7.0,,,,,1,,1,1,,1,1,1,1,
Q4PCV6,Q4PCV6_USTMA,nan,USTMA,6.0,,,,,1,,,1,1,,1,1,1,
F6UI71,F6UI71_ORNAN,ENSOANP00000022882,ORNAN,6.0,,,,,1,,,1,,1,1,1,1,
Q6CCI8,Q6CCI8_YARLI,nan,YARLI,6.0,,,,,1,,,1,1,,1,1,1,
Q5RKM3,Q5RKM3_DANRE,nan,DANRE,6.0,,,,,1,,,1,,1,1,1,1,
H2R1G1,H2R1G1_PANTR,ENSPTRP00000042319,PANTR,6.0,,,,,1,,,1,,1,1,1,1,
Q5KQ06,Q5KQ06_CRYNJ,nan,CRYNJ,6.0,,,,,1,,,1,1,,1,1,1,
Q59YX6,Q59YX6_CANAL,nan,CANAL,6.0,,,,,1,,,1,1,,1,1,1,
O35814,STIP1_RAT,nan,RAT,6.0,,,,,1,,,1,,1,1,1,1,
F7A606,F7A606_CIOIN,ENSCINP00000010199,CIOIN,6.0,,,,,1,,,1,,1,1,1,1,
B0YC02,B0YC02_ASPFC,nan,ASPFC,6.0,,,,,1,,,1,1,,1,1,1,
P31948,STIP1_HUMAN,nan,HUMAN,6.0,,,,,1,,,1,,1,1,1,1,
Q9VPN5,Q9VPN5_DROME,nan,DROME,6.0,,,,,1,,,1,,1,1,1,1,
Q7SET2,Q7SET2_NEUCR,nan,NEUCR,6.0,,,,,1,,,1,1,,1,1,1,
F1P7V6,F1P7V6_CANFA,ENSCAFP00000021669,CANFA,6.0,,,,,1,,,1,,1,1,1,1,
Q3ZBZ8,STIP1_BOVIN,ENSBTAP00000020809,BOVIN,6.0,,,,,1,,,1,,1,1,1,1,
Q60864,STIP1_MOUSE,nan,MOUSE,6.0,,,,,1,,,1,,1,1,1,1,
B8BXQ9,B8BXQ9_THAPS,nan,THAPS,5.0,,,,,,,,1,1,,,1,1,1
Q8ILC1,STI1L_PLAF7,nan,PLAF7,5.0,,,,,,,,1,1,,,1,1,1
A7EL16,A7EL16_SCLS1,nan,SCLS1,5.0,,,,,1,,,1,1,,1,,1,
A2ELA9,A2ELA9_TRIVA,nan,TRIVA,5.0,,,,,,,,1,1,,1,,1,1
Q0UEH1,Q0UEH1_PHANO,nan,PHANO,5.0,,,,,1,,,1,1,,1,,1,
Q6P302,Q6P302_XENTR,ENSXETP00000015637,XENTR,4.0,,,,,,,,1,,1,,1,1,
O16259,STIP1_CAEEL,nan,CAEEL,4.0,,,,,,,,1,,1,,1,1,
Q7Q0S4,Q7Q0S4_ANOGA,nan,ANOGA,4.0,,,,,,,,1,,1,,1,1,
C4QES7,nan,nan,nan,4.0,,,,,,,,1,,1,,1,1,
A8BX22,A8BX22_GIAIC,nan,GIAIC,4.0,,,,,,,,1,1,,,,1,1
E1BMG0,E1BMG0_BOVIN,ENSBTAP00000033643,BOVIN,3.0,,,,,,,,,,1,,1,1,
P73719,P73719_SYNY3,nan,SYNY3,2.0,,,,,,,,,,,,1,1,
Q8TQD1,Q8TQD1_METAC,nan,METAC,2.0,,,,,,,,,,,,1,1,
Q8TJS3,Q8TJS3_METAC,nan,METAC,2.0,,,,,,,,,1,,,1,,
Q7PMS2,Q7PMS2_ANOGA,nan,ANOGA,2.0,,,,,1,,,,,,1,,,
Q8IYF3,TEX11_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q8R5Z4,Q8R5Z4_FUSNN,nan,FUSNN,1.0,,,,,,,,,1,,,,,
nan,nan,ENSCINP00000027768,CIOIN,1.0,,,,,,,,,,,1,,,
Q4Q271,Q4Q271_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,,1,,
Q4Q4Z0,Q4Q4Z0_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
Q4Q749,Q4Q749_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
Q80ZX8,SPAG1_MOUSE,nan,MOUSE,1.0,,,,,,,,,1,,,,,
Q8A091,Q8A091_BACTN,nan,BACTN,1.0,,,,,,,,,,,,1,,
Q5U2X2,SPAG1_RAT,nan,RAT,1.0,,,,,,,,,1,,,,,
Q8TM44,Q8TM44_METAC,nan,METAC,1.0,,,,,,,,,1,,,,,
Q8F2G8,Q8F2G8_LEPIN,nan,LEPIN,1.0,,,,,,,1,,,,,,,
Q8TI50,Q8TI50_METAC,nan,METAC,1.0,,,,,,,,,,,,1,,
Q55DL5,Q55DL5_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q6IQ94,Q6IQ94_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
Q5A857,Q5A857_CANAL,nan,CANAL,1.0,,,,,,,,,,,,1,,
Q8RDS2,Q8RDS2_FUSNN,nan,FUSNN,1.0,,,,,,,,,1,,,,,
Q5ABB8,Q5ABB8_CANAL,nan,CANAL,1.0,,,,,,,,,,,,1,,
Q8RF97,Q8RF97_FUSNN,nan,FUSNN,1.0,,,,,,,,,1,,,,,
A2DI58,A2DI58_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
Q14AT2,TEX11_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
F1P2V2,F1P2V2_CHICK,ENSGALP00000025791,CHICK,1.0,,,,,,,,,1,,,,,
E9ACD3,E9ACD3_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
E1BFI8,E1BFI8_BOVIN,ENSBTAP00000043499,BOVIN,1.0,,,,,,,,,1,,,,,
D3Z868,D3Z868_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
C4QBH5,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C3YZ74,C3YZ74_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
C3YI58,C3YI58_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
B8JL34,B8JL34_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
B8A599,B8A599_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
B7Q8K9,B7Q8K9_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7PA62,B7PA62_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
A9WD39,A9WD39_CHLAA,nan,CHLAA,1.0,,,,,,,,,1,,,,,
A8BF96,A8BF96_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
A7SYL2,A7SYL2_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A7SXS7,A7SXS7_NEMVE,nan,NEMVE,1.0,,,,,,,1,,,,,,,
A2DP57,A2DP57_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
F1N2F6,F1N2F6_BOVIN,ENSBTAP00000021646,BOVIN,1.0,,,,,,,,,,,1,,,
F1PBE8,F1PBE8_CANFA,ENSCAFP00000024860,CANFA,1.0,,,,,,,,,,,1,,,
Q08BM1,Q08BM1_DANRE,nan,DANRE,1.0,,,,,,,,,1,,,,,
F6UAJ2,F6UAJ2_CIOIN,ENSCINP00000019105,CIOIN,1.0,,,,,,,,,1,,,,,
Q07617,SPAG1_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
Q04737,Y751_SYNY3,nan,SYNY3,1.0,,,,,,,1,,,,,,,
A2DKH8,A2DKH8_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
H2V7I8,H2V7I8_TAKRU,ENSTRUP00000045177,TAKRU,1.0,,,,,,,,,,,1,,,
H2TUR5,H2TUR5_TAKRU,ENSTRUP00000028424,TAKRU,1.0,,,,,,,,,1,,,,,
H2TKU0,H2TKU0_TAKRU,ENSTRUP00000025295,TAKRU,1.0,,,,,,,,,,,1,,,
H2SVX3,H2SVX3_TAKRU,ENSTRUP00000016561,TAKRU,1.0,,,,,,,,,,,1,,,
H2RJ11,H2RJ11_TAKRU,ENSTRUP00000000124,TAKRU,1.0,,,,,,,,,,,1,,,
H2R4P5,H2R4P5_PANTR,ENSPTRP00000047376,PANTR,1.0,,,,,,,,,,,1,,,
