ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q54CP6,Q54CP6_DICDI,nan,DICDI,5.0,,,,,,,,,,1,1,1,1,1
Q9SAK8,CHX2_ARATH,nan,ARATH,5.0,,,,,,,,,,1,1,1,1,1
Q9P7I1,KHA1_SCHPO,nan,SCHPO,5.0,,,,,,,,,,1,1,1,1,1
Q54GC7,Q54GC7_DICDI,nan,DICDI,5.0,,,,,,,,,,1,1,1,1,1
A7EH56,A7EH56_SCLS1,nan,SCLS1,4.0,,,,,,,,,,1,1,1,,1
Q8A6U3,Q8A6U3_BACTN,nan,BACTN,4.0,,,,,,,,,,,1,1,1,1
Q7NMF4,Q7NMF4_GLOVI,nan,GLOVI,4.0,,,,,,,,,,,1,1,1,1
Q5KFI1,Q5KFI1_CRYNJ,nan,CRYNJ,4.0,,,,,,,,,,1,1,1,,1
Q8F5W8,Q8F5W8_LEPIN,nan,LEPIN,4.0,,,,,,,,,,,1,1,1,1
P72973,NHAS4_SYNY3,nan,SYNY3,4.0,,,,,,,,,,,1,1,1,1
B0Y9F6,B0Y9F6_ASPFC,nan,ASPFC,4.0,,,,,,,,,,1,1,1,,1
Q4P542,Q4P542_USTMA,nan,USTMA,3.0,,,,,,,,,,1,1,,,1
Q0V5I1,Q0V5I1_PHANO,nan,PHANO,3.0,,,,,,,,,,1,1,,,1
Q93JF3,Q93JF3_STRCO,nan,STRCO,3.0,,,,,,,,,,,1,,1,1
P40309,KHA1_YEAST,nan,YEAST,3.0,,,,,,,,,,1,1,,,1
Q7S6F5,Q7S6F5_NEUCR,nan,NEUCR,3.0,,,,,,,,,,1,1,,,1
Q4P6E4,Q4P6E4_USTMA,nan,USTMA,3.0,,,,,,,,,,1,1,,,1
Q8TIQ9,Q8TIQ9_METAC,nan,METAC,2.0,,,,,,,,,,,,1,,1
Q5JJ83,Q5JJ83_THEKO,nan,THEKO,2.0,,,,,,,,,,1,,,,1
Q7NHZ6,Q7NHZ6_GLOVI,nan,GLOVI,2.0,,,,,,,,,,,1,,,1
Q97Z08,Q97Z08_SULSO,nan,SULSO,1.0,,,,,,,,,,,,1,,
Q5JF84,Q5JF84_THEKO,nan,THEKO,1.0,,,,,,,,,,,,,1,
A9SV41,A9SV41_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
O31615,YJBQ_BACSU,nan,BACSU,1.0,,,,,,,,,,1,,,,
B1L499,B1L499_KORCO,nan,KORCO,1.0,,,,,,,,,,,,1,,
A9T441,A9T441_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
Q9X8F2,Q9X8F2_STRCO,nan,STRCO,1.0,,,,,,,,,,1,,,,
