ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q0WQG8,GTG2_ARATH,nan,ARATH,10.0,,,1,,,1,1,1,1,1,1,1,1,1
F1LTD0,F1LTD0_RAT,ENSRNOP00000000106,RAT,9.0,,,,,,1,1,1,1,1,1,1,1,1
Q9U1S3,Q9U1S3_CAEEL,nan,CAEEL,8.0,,,,,,1,,1,1,1,1,1,1,1
Q8BS95,GPHR_MOUSE,nan,MOUSE,8.0,,,,,,1,,1,1,1,1,1,1,1
A7SPG4,A7SPG4_NEMVE,nan,NEMVE,8.0,,,,,,1,1,1,1,1,1,1,,1
H2SBK1,H2SBK1_TAKRU,ENSTRUP00000009780,TAKRU,8.0,,,,,,1,1,1,1,1,1,1,,1
Q3ZAN1,Q3ZAN1_DROME,nan,DROME,8.0,,,,,,1,,1,1,1,1,1,1,1
Q5F448,GPHR_CHICK,nan,CHICK,8.0,,,,,,1,,1,1,1,1,1,1,1
F6ZU15,F6ZU15_ORNAN,ENSOANP00000015442,ORNAN,8.0,,,,,,1,1,1,1,1,1,1,,1
F6Q9X3,F6Q9X3_XENTR,ENSXETP00000035592,XENTR,8.0,,,,,,1,1,1,1,1,1,1,,1
E7FB29,E7FB29_DANRE,ENSDARP00000101720,DANRE,8.0,,,,,,1,,1,1,1,1,1,1,1
Q6CED7,Q6CED7_YARLI,nan,YARLI,8.0,,,,,,1,1,1,1,1,1,1,,1
C4Q3V0,C4Q3V0_SCHMA,nan,SCHMA,8.0,,,1,,,1,1,1,1,1,1,,,1
B7ZAQ6,GPHRA_HUMAN,nan,HUMAN,8.0,,,,,,1,,1,1,1,1,1,1,1
Q17912,Q17912_CAEEL,nan,CAEEL,7.0,,,,,,,,1,1,1,1,1,1,1
Q5A2A3,Q5A2A3_CANAL,nan,CANAL,7.0,,,,,,1,,1,1,1,1,1,1,
Q54QM5,GPHR_DICDI,nan,DICDI,7.0,,,,,,1,,1,1,1,1,1,1,
Q7RYA0,Q7RYA0_NEUCR,nan,NEUCR,7.0,,,,,,1,,1,1,1,1,1,,1
Q0UJI5,Q0UJI5_PHANO,nan,PHANO,7.0,,,,,,1,1,1,1,1,1,,,1
nan,nan,ENSBTAP00000049825,BOVIN,7.0,,,,,,1,,1,1,1,1,1,,1
H2PZU7,H2PZU7_PANTR,ENSPTRP00000002068,PANTR,7.0,,,,,,1,,1,1,1,1,1,,1
F7EFJ7,F7EFJ7_MONDO,ENSMODP00000023368,MONDO,7.0,,,,,,1,,1,1,1,1,1,,1
F7D013,F7D013_MACMU,ENSMMUP00000025803,MACMU,7.0,,,,,,1,,1,1,1,1,1,,1
E2R506,E2R506_CANFA,ENSCAFP00000016374,CANFA,7.0,,,,,,1,,1,1,1,1,1,,1
A9V569,A9V569_MONBE,nan,MONBE,7.0,,,,,,1,,1,1,1,1,1,,1
Q4P0U3,Q4P0U3_USTMA,nan,USTMA,6.0,,,,,,1,,1,1,1,1,,,1
Q7PSQ7,Q7PSQ7_ANOGA,nan,ANOGA,6.0,,,,,,,,1,1,1,1,1,,1
C3Z493,C3Z493_BRAFL,nan,BRAFL,6.0,,,,,,,,1,1,1,1,1,,1
A7E5I1,A7E5I1_SCLS1,nan,SCLS1,6.0,,,,,,1,,1,1,1,1,,,1
B7PNF1,B7PNF1_IXOSC,nan,IXOSC,5.0,,,,,,1,1,,,1,,1,,1
Q5K8V4,Q5K8V4_CRYNJ,nan,CRYNJ,4.0,,,,,,1,,,1,1,1,,,
F7C6L3,F7C6L3_MACMU,ENSMMUP00000034293,MACMU,3.0,,,,,,,,,,1,,1,,1
Q4QIR1,Q4QIR1_LEIMA,nan,LEIMA,2.0,,,,,,1,,,,,1,,,
Q8IJV9,Q8IJV9_PLAF7,nan,PLAF7,2.0,,,,,,,1,,,,,,,1
Q8ILP5,Q8ILP5_PLAF7,nan,PLAF7,1.0,,,,,,,,,1,,,,,
