ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
O07208,O07208_MYCTO,nan,MYCTU,10.0,1,1,1,1,,,1,1,1,1,,,1,1
Q9ADF6,Q9ADF6_STRCO,nan,STRCO,10.0,1,1,1,1,,,1,1,1,1,,,1,1
Q55895,Q55895_SYNY3,nan,SYNY3,2.0,,,,,,,,,,1,,,1,
A6V470,A6V470_PSEA7,nan,PSEA7,1.0,,,,,,,,,,1,,,,
Q89DG3,Q89DG3_BRADU,nan,BRADU,1.0,,,,,,,,,,1,,,,
Q8TNK6,Q8TNK6_METAC,nan,METAC,1.0,,,,,,,,,,1,,,,
Q8R644,Q8R644_FUSNN,nan,FUSNN,1.0,,,,,,,,,,,,,1,
Q8A859,Q8A859_BACTN,nan,BACTN,1.0,,,,,,,,,,,,,1,
Q89UN7,Q89UN7_BRADU,nan,BRADU,1.0,,,,,,,,,,1,,,,
Q7USG3,Q7USG3_RHOBA,nan,RHOBA,1.0,,,,,,,,,,1,,,,
Q89BV8,Q89BV8_BRADU,nan,BRADU,1.0,,,,,,,,,,1,,,,
B5YFN1,B5YFN1_THEYD,nan,THEYD,1.0,,,,,,,,,,,,,1,
Q7UQD0,Q7UQD0_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,,,1,
Q7NDV2,Q7NDV2_GLOVI,nan,GLOVI,1.0,,,,,,,,,,1,,,,
Q74B25,Q74B25_GEOSL,nan,GEOSL,1.0,,,,,,,,,,,,,1,
O34437,YFKH_BACSU,nan,BACSU,1.0,,,,,,,,,,1,,,,
Q9RR86,Q9RR86_DEIRA,nan,DEIRA,1.0,,,,,,,,,,1,,,,
