ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9ADI1,Q9ADI1_STRCO,nan,STRCO,10.0,,1,1,1,,,1,1,1,1,1,,1,1
P95868,P95868_SULSF,nan,SULSO,10.0,,1,1,1,,,1,1,1,1,1,,1,1
P0A4Y4,nan,nan,nan,8.0,,,1,,,,1,1,1,1,1,,1,1
Q89FD2,Q89FD2_BRADU,nan,BRADU,8.0,,1,,,,,1,1,1,1,1,,1,1
A6V621,A6V621_PSEA7,nan,PSEA7,7.0,,,1,,,,,1,1,1,1,,1,1
Q9RXP5,Q9RXP5_DEIRA,nan,DEIRA,7.0,,,1,,,,,1,1,1,1,,1,1
A9WHI0,A9WHI0_CHLAA,nan,CHLAA,7.0,,,,,,,1,1,1,1,1,,1,1
P15067,GLGX_ECOLI,nan,ECOLI,6.0,,,,,,,,1,1,1,1,,1,1
P72691,P72691_SYNY3,nan,SYNY3,6.0,,,1,,,,1,1,1,1,1,,,
Q8TPB3,Q8TPB3_METAC,nan,METAC,5.0,,,,,,,,1,1,1,1,,,1
Q7ULT9,Q7ULT9_RHOBA,nan,RHOBA,5.0,,,1,,,,,1,1,1,1,,,
Q3KMX9,Q3KMX9_CHLTA,nan,CHLTA,4.0,,,,,,,,1,1,1,,,,1
A9RYH5,A9RYH5_PHYPA,nan,PHYPA,4.0,,,1,,,,,1,,1,,,,1
A9RS27,A9RS27_PHYPA,nan,PHYPA,4.0,,,,,,,1,1,,1,,,,1
Q8RFB4,Q8RFB4_FUSNN,nan,FUSNN,4.0,,,,,,,,1,1,1,,,1,
O04196,ISOA1_ARATH,nan,ARATH,4.0,,,1,,,,,1,,1,,,,1
Q7UH19,Q7UH19_RHOBA,nan,RHOBA,4.0,,,,,,,,,1,1,1,,,1
Q9M0S5,ISOA3_ARATH,nan,ARATH,3.0,,,,,,,,1,,1,,,,1
P73608,P73608_SYNY3,nan,SYNY3,3.0,,,,,,,,1,,1,,,,1
Q8L735,ISOA2_ARATH,nan,ARATH,2.0,,,,,,,,,,1,,,,1
O33840,PULA_THEMA,nan,THEMA,1.0,,,,,,,,,1,,,,,
Q89YP2,Q89YP2_BACTN,nan,BACTN,1.0,,,,1,,,,,,,,,,
Q7NFD8,Q7NFD8_GLOVI,nan,GLOVI,1.0,,,,,,,,1,,,,,,
Q74AJ6,Q74AJ6_GEOSL,nan,GEOSL,1.0,,,,,,,,,,,,,1,
C0SPA0,PULA_BACSU,nan,BACSU,1.0,,,,1,,,,,,,,,,
P39118,GLGB_BACSU,nan,BACSU,1.0,,,,,,,,,,,,,1,
Q7NKP6,Q7NKP6_GLOVI,nan,GLOVI,1.0,,,,,,,,1,,,,,,
