ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A9SIA0,A9SIA0_PHYPA,nan,PHYPA,10.0,,,1,,,1,1,1,1,1,1,1,1,1
Q93YN5,Q93YN5_ARATH,nan,ARATH,9.0,,,1,,,1,1,1,1,1,1,,1,1
A9UTH4,A9UTH4_MONBE,nan,MONBE,4.0,,,,,,1,1,1,,,,,,1
Q8ILV0,Q8ILV0_PLAF7,nan,PLAF7,3.0,,,,,,1,,1,,,,,,1
A7F144,A7F144_SCLS1,nan,SCLS1,3.0,,,,,,1,,1,,,,1,,
Q7UMH4,Q7UMH4_RHOBA,nan,RHOBA,2.0,,,,,,,,,,1,1,,,
P73577,Y889_SYNY3,nan,SYNY3,2.0,,,,,,,,,,1,1,,,
P72041,P72041_MYCTU,nan,MYCTU,2.0,,,,,,,,,,,,1,1,
Q7NKK9,Q7NKK9_GLOVI,nan,GLOVI,2.0,,,,,,,,,,1,1,,,
A6V9F1,A6V9F1_PSEA7,nan,PSEA7,2.0,,,,,,,1,,,,,1,,
B5YJJ0,B5YJJ0_THEYD,nan,THEYD,2.0,,,,,,,,,,1,1,,,
Q8TR59,Q8TR59_METAC,nan,METAC,2.0,,,,,,,,,,1,1,,,
Q9K3G3,Q9K3G3_STRCO,nan,STRCO,2.0,,,,,,,,,,1,1,,,
Q8TPP5,Q8TPP5_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
Q21523,Q21523_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q8F334,Q8F334_LEPIN,nan,LEPIN,1.0,,,,,,,,,,1,,,,
Q89WD1,Q89WD1_BRADU,nan,BRADU,1.0,,,,,,,,,,,1,,,
Q7UHW0,Q7UHW0_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,,1,,
Q7UH95,Q7UH95_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
Q9RK50,Q9RK50_STRCO,nan,STRCO,1.0,,,,,,,,,,,,,1,
Q7NC81,Q7NC81_GLOVI,nan,GLOVI,1.0,,,,,,,,,,,,1,,
Q74E76,Q74E76_GEOSL,nan,GEOSL,1.0,,,,,,,,,,,1,,,
Q21569,Q21569_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
P74200,P74200_SYNY3,nan,SYNY3,1.0,,,,,,,,,,,,1,,
Q09621,LACT2_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
P96936,nan,nan,nan,1.0,,,,,,,,,,1,,,,
A6VDI8,UBIB_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,1,,,
P0A6A0,UBIB_ECOLI,nan,ECOLI,1.0,,,,,,,,,,,1,,,
O53190,O53190_MYCTU,nan,MYCTU,1.0,,,,,,,1,,,,,,,
C3YN73,C3YN73_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
B8LBU5,B8LBU5_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
B8CBS2,B8CBS2_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
B8BSR3,B8BSR3_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
B5YNS6,B5YNS6_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
B5YMM9,B5YMM9_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
B0Y4D1,B0Y4D1_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,,1,,
A9WEW2,A9WEW2_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,1,,,
A9WDD9,A9WDD9_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,,1,,
A9VCR3,A9VCR3_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
nan,nan,ENSXETP00000046562,XENTR,1.0,,,,,,,1,,,,,,,
