ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6TNJ1,F6TNJ1_MACMU,ENSMMUP00000033876,MACMU,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
F1N3J7,F1N3J7_BOVIN,ENSBTAP00000019462,BOVIN,10.0,1,1,,,,1,1,1,1,1,,1,1,1
F7G5M2,F7G5M2_ORNAN,ENSOANP00000014896,ORNAN,10.0,1,1,,,,1,1,1,1,1,,1,1,1
O70531,S26A2_RAT,nan,RAT,10.0,1,1,,,,1,1,1,1,1,,1,1,1
Q62273,S26A2_MOUSE,ENSMUSP00000119447,MOUSE,10.0,1,1,,,,1,1,1,1,1,,1,1,1
F6RXY2,F6RXY2_MONDO,ENSMODP00000012282,MONDO,10.0,1,1,,,,1,1,1,1,1,,1,1,1
E2RJP2,E2RJP2_CANFA,ENSCAFP00000026948,CANFA,10.0,1,1,,,,1,1,1,1,1,,1,1,1
H2QRS4,H2QRS4_PANTR,ENSPTRP00000029741,PANTR,9.0,1,1,,,,1,1,1,1,1,,1,1,
P50443,S26A2_HUMAN,nan,HUMAN,9.0,1,1,,,,1,1,1,1,1,,1,1,
E7F9I7,E7F9I7_DANRE,ENSDARP00000007023,DANRE,6.0,,,,,,,1,,1,1,,1,1,1
F7CNJ3,F7CNJ3_XENTR,ENSXETP00000044306,XENTR,6.0,,,,,,,1,,1,1,,1,1,1
H2RS92,H2RS92_TAKRU,ENSTRUP00000003008,TAKRU,6.0,,,,,,,1,,1,1,,1,1,1
Q74AP0,Q74AP0_GEOSL,nan,GEOSL,4.0,,,,,,,,1,1,,,1,1,
A7RG03,A7RG03_NEMVE,nan,NEMVE,4.0,,,,,,,,,1,1,,1,1,
Q89PK7,Q89PK7_BRADU,nan,BRADU,4.0,,,,,,,,1,1,,,1,1,
P72770,P72770_SYNY3,nan,SYNY3,4.0,,,,,,,,1,1,,,1,1,
O67306,O67306_AQUAE,nan,AQUAE,3.0,,,,,,,,1,,,,1,1,
Q551C0,Q551C0_DICDI,nan,DICDI,3.0,,,,,,,,,1,,,1,1,
Q89RC4,Q89RC4_BRADU,nan,BRADU,3.0,,,,,,,,1,,,,1,1,
Q8GYH8,SUT42_ARATH,nan,ARATH,3.0,,,,,,,,,1,,,1,1,
Q9FY46,SUT41_ARATH,nan,ARATH,3.0,,,,,,,,,1,,,1,1,
Q9MAX3,SUT12_ARATH,nan,ARATH,3.0,,,,,,,,,1,,,1,1,
A6V7E4,A6V7E4_PSEA7,nan,PSEA7,3.0,,,,,,,,1,,,,1,1,
A9WC90,A9WC90_CHLAA,nan,CHLAA,3.0,,,,,,,,,1,,,1,1,
nan,nan,ENSGALP00000001815,CHICK,2.0,,,,,,,,,,,,1,1,
Q8A2X4,Q8A2X4_BACTN,nan,BACTN,2.0,,,,,,,,,,,,1,1,
Q89FZ3,Q89FZ3_BRADU,nan,BRADU,2.0,,,,,,,,,,,,1,1,
B0G157,B0G157_DICDI,nan,DICDI,2.0,,,,,,,,,1,,,1,,
A9S391,A9S391_PHYPA,nan,PHYPA,2.0,,,,,,,,,1,,,,1,
Q8TPB4,Q8TPB4_METAC,nan,METAC,2.0,,,,,,,,,,,,1,1,
Q94225,SULP3_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
Q94LW6,SUT35_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q9FEP7,SUT13_ARATH,nan,ARATH,2.0,,,,,,,,,1,,,,1,
Q4Q897,Q4Q897_LEIMA,nan,LEIMA,2.0,,,,,,,,,,,,1,1,
Q23454,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
Q23167,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
Q19447,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
A9RQW1,A9RQW1_PHYPA,nan,PHYPA,2.0,,,,,,,,,1,,,,1,
A9RIY8,A9RIY8_PHYPA,nan,PHYPA,2.0,,,,,,,,,1,,,,1,
Q9SAY1,SUT11_ARATH,nan,ARATH,2.0,,,,,,,,,1,,,,1,
F6VIT0,F6VIT0_CIOIN,ENSCINP00000028098,CIOIN,2.0,,,1,1,,,,,,,,,,
P71997,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
Q9SV13,SUT31_ARATH,nan,ARATH,2.0,,,,,,,,,1,,,,1,
O04289,SUT32_ARATH,nan,ARATH,2.0,,,,,,,,,1,,,,1,
O45016,O45016_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
O17951,O17951_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
O17950,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
A9S7B7,A9S7B7_PHYPA,nan,PHYPA,2.0,,,,,,,,,1,,,,1,
Q9LW86,SUT34_ARATH,nan,ARATH,1.0,,,,,,,,,,,,,1,
Q9SXS2,SUT33_ARATH,nan,ARATH,1.0,,,,,,,,,,,,,1,
Q9URY8,SULH2_SCHPO,nan,SCHPO,1.0,,,,,,,,1,,,,,,
Q9VVM6,Q9VVM6_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q8CJP5,Q8CJP5_STRCO,nan,STRCO,1.0,,,,,,,,,,,,,1,
O04722,SUT21_ARATH,nan,ARATH,1.0,,,,,,,,,,,,,1,
B8BSB2,B8BSB2_THAPS,nan,THAPS,1.0,,,,,,,,,1,,,,,
Q5KQ29,Q5KQ29_CRYNJ,nan,CRYNJ,1.0,,,,,,,,1,,,,,,
O06984,YVDB_BACSU,nan,BACSU,1.0,,,,,,,,,,,,1,,
Q55FK8,Q55FK8_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
Q55FJ8,Q55FJ8_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
C4Q8Q9,nan,nan,nan,1.0,,,,,,,,,1,,,,,
Q0UHE4,Q0UHE4_PHANO,nan,PHANO,1.0,,,,,,,,1,,,,,,
Q0UH76,Q0UH76_PHANO,nan,PHANO,1.0,,,,,,,,1,,,,,,
Q0U2A8,Q0U2A8_PHANO,nan,PHANO,1.0,,,,,,,,1,,,,,,
P92946,SUT22_ARATH,nan,ARATH,1.0,,,,,,,,,,,,,1,
F6XGD9,F6XGD9_CIOIN,ENSCINP00000004005,CIOIN,1.0,,,,,,,,,,1,,,,
P0AFR2,DAUA_ECOLI,nan,ECOLI,1.0,,,,,,,,,,,,1,,
O74377,SULH1_SCHPO,nan,SCHPO,1.0,,,,,,,,1,,,,,,
F7BAF2,F7BAF2_CIOIN,ENSCINP00000013717,CIOIN,1.0,,,,,,,,,,,,1,,
Q58QG7,nan,nan,nan,1.0,,,,,,,,,,,,,1,
