ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
P32854,PEP12_YEAST,nan,YEAST,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O94651,PEP12_SCHPO,nan,SCHPO,12.0,1,1,,1,1,1,1,1,1,,1,1,1,1
A7EF86,A7EF86_SCLS1,nan,SCLS1,11.0,1,1,,1,1,1,1,1,1,,1,1,1,
Q8X090,Q8X090_NEUCS,nan,NEUCR,11.0,1,1,,1,1,1,1,1,1,,1,1,1,
Q0UTT4,Q0UTT4_PHANO,nan,PHANO,11.0,1,1,1,1,1,1,1,1,1,,1,,1,
Q5AG87,Q5AG87_CANAL,nan,CANAL,10.0,1,,,,1,1,1,1,1,,1,1,1,1
B0Y5Q3,B0Y5Q3_ASPFC,nan,ASPFC,10.0,1,,,1,1,1,1,1,1,,1,1,1,
Q5KMJ1,Q5KMJ1_CRYNJ,nan,CRYNJ,10.0,1,1,,1,1,1,,1,1,,1,1,1,
Q4PC25,Q4PC25_USTMA,nan,USTMA,10.0,1,1,,,1,1,1,1,1,,1,1,1,
Q6CB33,Q6CB33_YARLI,nan,YARLI,10.0,1,,1,,1,1,1,1,1,,1,1,1,
A7SJJ7,A7SJJ7_NEMVE,nan,NEMVE,10.0,1,1,,1,1,1,,1,1,,1,1,1,
P93654,SYP22_ARATH,nan,ARATH,10.0,,,,1,1,1,1,1,1,1,1,1,1,
A9V2X4,A9V2X4_MONBE,nan,MONBE,9.0,1,,,,1,1,1,1,1,,1,1,1,
F6VQZ5,F6VQZ5_XENTR,ENSXETP00000055888,XENTR,9.0,,1,,,,1,1,1,1,1,1,1,1,
Q54JY7,STX7A_DICDI,nan,DICDI,9.0,1,,,1,1,1,,,1,1,1,1,1,
H2UBE9,H2UBE9_TAKRU,ENSTRUP00000034267,TAKRU,8.0,,,,,,1,1,1,1,1,1,1,1,
A7MAZ2,A7MAZ2_BOVIN,ENSBTAP00000001580,BOVIN,8.0,,1,,,,1,1,1,1,,1,1,1,
C3ZCV0,C3ZCV0_BRAFL,nan,BRAFL,8.0,1,,,1,,,1,,1,1,1,1,1,
F7GHA6,F7GHA6_MONDO,ENSMODP00000013400,MONDO,8.0,,1,,1,,1,,1,1,,1,1,1,
E1C319,E1C319_CHICK,nan,CHICK,7.0,,1,,,,1,,1,1,,1,1,1,
Q7PNQ5,Q7PNQ5_ANOGA,nan,ANOGA,7.0,1,,,1,,,1,,1,,1,1,1,
B7P7R4,B7P7R4_IXOSC,nan,IXOSC,7.0,,,,1,1,1,1,,,,1,1,1,
E2RT32,E2RT32_CANFA,ENSCAFP00000017700,CANFA,7.0,,1,,,,1,,1,1,,1,1,1,
F6Y3T4,F6Y3T4_CIOIN,ENSCINP00000023436,CIOIN,6.0,,,,,,,1,,1,1,1,1,1,
E7F0D3,E7F0D3_DANRE,ENSDARP00000065513,DANRE,6.0,,,,,,1,,1,1,,1,1,1,
F6QHD6,F6QHD6_ORNAN,ENSOANP00000013219,ORNAN,6.0,,,,,,1,,1,1,,1,1,1,
F7E0A0,F7E0A0_ORNAN,ENSOANP00000016149,ORNAN,6.0,,,,1,,,1,,1,,1,1,1,
O88385,nan,nan,nan,6.0,,,,,,1,,1,1,,1,1,1,
Q7K0X9,Q7K0X9_DROME,nan,DROME,6.0,,,,,,,1,,1,1,1,1,1,
O70439,STX7_MOUSE,nan,MOUSE,6.0,,,,,,1,1,,1,,1,1,1,
Q86Y82,STX12_HUMAN,nan,HUMAN,6.0,,1,,,,1,,,1,,1,1,1,
O15400,STX7_HUMAN,nan,HUMAN,5.0,,,,1,,,,,1,,1,1,1,
O62236,O62236_CAEEL,nan,CAEEL,5.0,,,,1,,,,,1,,1,1,1,
O04378,SYP23_ARATH,nan,ARATH,5.0,,,,,,,,,1,1,1,1,1,
Q39233,SYP21_ARATH,nan,ARATH,5.0,,,,,,,,,1,1,1,1,1,
H2UFJ9,H2UFJ9_TAKRU,ENSTRUP00000035719,TAKRU,5.0,,,,1,,,,,1,,1,1,1,
Q3ZBT5,STX7_BOVIN,ENSBTAP00000022780,BOVIN,5.0,,,,1,,,,,1,,1,1,1,
H2R9N2,H2R9N2_PANTR,ENSPTRP00000053028,PANTR,5.0,,,,,1,,,,,1,1,1,1,
Q5RFY7,nan,nan,nan,5.0,,,,,,,,,1,1,1,1,1,
F7GMG0,F7GMG0_MACMU,ENSMMUP00000040477,MACMU,5.0,,1,,,,,,,1,,1,1,1,
nan,nan,ENSPTRP00000052616,PANTR,5.0,,1,,,,,,,1,,1,1,1,
F7E0Z1,F7E0Z1_MONDO,ENSMODP00000021893,MONDO,5.0,,,,,,,1,,1,,1,1,1,
E2R4Q2,E2R4Q2_CANFA,ENSCAFP00000000264,CANFA,5.0,,,,,,,1,,1,,1,1,1,
A2VE76,A2VE76_BOVIN,ENSBTAP00000013156,BOVIN,5.0,,,,,1,,,,,1,1,1,1,
A5PMJ7,A5PMJ7_DANRE,nan,DANRE,5.0,,,,,,,1,,1,,1,1,1,
Q9VU45,Q9VU45_DROME,nan,DROME,5.0,,,,,1,,,,,1,1,1,1,
