ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7NNG3,PSTB2_GLOVI,nan,GLOVI,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
P73788,PSTB3_SYNY3,nan,SYNY3,12.0,1,1,1,1,1,,1,1,1,,1,1,1,1
B0R7Z0,B0R7Z0_HALS3,nan,HALS3,8.0,,,1,,,,1,1,,1,1,1,1,1
Q8TSA8,PSTB_METAC,nan,METAC,6.0,1,,,,,,1,1,,1,1,,,1
nan,nan,ENSXETP00000035480,XENTR,5.0,1,,,,,,1,1,,1,1,,,
B0R3E2,B0R3E2_HALS3,nan,HALS3,4.0,,,,,,,,1,,,1,1,,1
Q97ZT9,PSTB_SULSO,nan,SULSO,4.0,,,,,,,1,1,,,1,1,,
Q7UP21,PSTB_RHOBA,nan,RHOBA,4.0,1,,,,,,1,1,,,1,,,
P46341,PSTB2_BACSU,nan,BACSU,4.0,,,,,,,,1,,1,1,,,1
B1L5D5,B1L5D5_KORCO,nan,KORCO,4.0,,,,,,,,1,,,1,1,1,
P46342,PSTB1_BACSU,nan,BACSU,4.0,,,1,,,,1,1,,,1,,,
Q9X0Y8,PSTB_THEMA,nan,THEMA,3.0,,,,,,,,,,,1,,1,1
B8E1Z4,B8E1Z4_DICTD,nan,DICTD,3.0,,,,,,,,,,,1,1,1,
Q89VF2,PSTB_BRADU,nan,BRADU,3.0,,,1,,,,,,,1,1,,,
Q9C9W0,AB17I_ARATH,nan,ARATH,3.0,,,,1,,,,1,,,1,,,
A2D7Z2,A2D7Z2_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,,1,1,
P95302,nan,nan,nan,2.0,,,,1,,,,,,,1,,,
A8DWS3,A8DWS3_NEMVE,nan,NEMVE,2.0,,,,,,,,1,,1,,,,
Q58418,PSTB_METJA,nan,METJA,2.0,,,,,,,,,,,1,,,1
A6VEH6,A6VEH6_PSEA7,nan,PSEA7,2.0,,,,,,,,,,1,1,,,
Q7SGU1,Q7SGU1_NEUCR,nan,NEUCR,2.0,,,,,,,,,,,,1,1,
Q9RYZ3,PSTB_DEIRA,nan,DEIRA,2.0,,,,,,,,,,,1,1,,
A2FBL3,A2FBL3_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,,1,1,
A2EJ73,A2EJ73_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2EXR9,A2EXR9_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
Q8A853,PSTB_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q9KZW2,PSTB_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9U275,Q9U275_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
A9WCU7,A9WCU7_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,1,,,
Q7Q7N3,nan,nan,nan,1.0,,,,1,,,,,,,,,,
A2FZA2,A2FZA2_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
Q5JEP9,PSTB_THEKO,nan,THEKO,1.0,,,,,,,,,,,1,,,
Q3KM98,Q3KM98_CHLTA,nan,CHLTA,1.0,,,,,,,,,,,,1,,
A2GG94,A2GG94_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
A2DXR7,A2DXR7_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
O67154,PSTB_AQUAE,nan,AQUAE,1.0,,,,,,,,,,,1,,,
O53832,nan,nan,nan,1.0,,,,,,,,,,,1,,,
E7F8A9,E7F8A9_DANRE,ENSDARP00000103457,DANRE,1.0,,,,,,,,,,,,1,,
B8BTP7,B8BTP7_THAPS,nan,THAPS,1.0,,,,,,,,,,,,1,,
B5YHJ7,B5YHJ7_THEYD,nan,THEYD,1.0,,,,,,,,,,,1,,,
Q74E68,PSTB_GEOSL,nan,GEOSL,1.0,,,,,,,,,,,1,,,
