ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q17687,Q17687_CAEEL,nan,CAEEL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9VWY7,Q9VWY7_DROME,nan,DROME,11.0,1,1,,,1,1,1,1,,1,1,1,1,1
D4A732,D4A732_RAT,nan,RAT,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
Q6KAU4,MB12B_MOUSE,nan,MOUSE,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
F6TCF4,F6TCF4_ORNAN,ENSOANP00000016540,ORNAN,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
F6TFC5,F6TFC5_MACMU,ENSMMUP00000001164,MACMU,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
Q5F367,Q5F367_CHICK,nan,CHICK,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
nan,nan,ENSCAFP00000029913,CANFA,10.0,,1,,1,,1,1,1,1,1,,1,1,1
H2QXW5,H2QXW5_PANTR,ENSPTRP00000036528,PANTR,10.0,,1,,1,,1,1,1,1,1,,1,1,1
Q9H7P6,MB12B_HUMAN,nan,HUMAN,10.0,,1,,1,,1,1,1,1,1,,1,1,1
F6W7A1,F6W7A1_MONDO,ENSMODP00000024698,MONDO,10.0,,1,,1,,1,1,1,1,1,,1,1,1
F6XEU0,F6XEU0_CIOIN,ENSCINP00000011486,CIOIN,10.0,1,1,,,,1,1,1,1,1,,1,1,1
F7CYJ8,F7CYJ8_XENTR,ENSXETP00000001650,XENTR,10.0,1,,,1,,1,1,1,1,1,,1,1,1
nan,nan,ENSBTAP00000040818,BOVIN,9.0,1,,,,,1,1,1,1,1,,1,1,1
Q7Q2L3,Q7Q2L3_ANOGA,nan,ANOGA,9.0,,,,,1,1,1,1,,1,1,1,1,1
Q08CM0,Q08CM0_DANRE,nan,DANRE,9.0,,1,,,,1,1,1,1,1,,1,1,1
H2U5D0,H2U5D0_TAKRU,ENSTRUP00000032146,TAKRU,9.0,,1,,,,1,1,1,1,1,,1,1,1
H2TCY8,H2TCY8_TAKRU,ENSTRUP00000022530,TAKRU,7.0,,,1,,,,,1,1,1,,1,1,1
Q5ZJX7,MB12A_CHICK,nan,CHICK,7.0,,,,,1,,,1,1,1,1,1,1,
B0UXJ0,nan,nan,nan,7.0,,,1,,,,,1,1,1,,1,1,1
Q96EY5,MB12A_HUMAN,nan,HUMAN,6.0,,,,,1,,,,1,1,1,1,1,
Q7SXX7,MB12A_DANRE,nan,DANRE,6.0,,,,,1,,,,1,1,1,1,1,
E2RJN6,E2RJN6_CANFA,ENSCAFP00000022592,CANFA,6.0,,,,,1,,,,1,1,1,1,1,
Q78HU3,MB12A_MOUSE,nan,MOUSE,6.0,,,,,1,,,,1,1,1,1,1,
Q6P777,MB12A_RAT,nan,RAT,6.0,,,,,1,,,,1,1,1,1,1,
F6R7R4,F6R7R4_MONDO,ENSMODP00000005485,MONDO,6.0,,,,,1,,,,1,1,1,1,1,
Q3T0N1,MB12A_BOVIN,ENSBTAP00000005111,BOVIN,6.0,,,,,1,,,,1,1,1,1,1,
H2QFR2,H2QFR2_PANTR,ENSPTRP00000018210,PANTR,6.0,,,,,1,,,,1,1,1,1,1,
H2UAV3,H2UAV3_TAKRU,ENSTRUP00000034070,TAKRU,6.0,,,,,1,,,,1,1,1,1,1,
A9JTN0,A9JTN0_XENTR,ENSXETP00000006643,XENTR,6.0,,,,,1,,,,1,1,1,1,1,
F7EHM1,F7EHM1_ORNAN,ENSOANP00000023015,ORNAN,5.0,,,,,1,,,,1,1,1,,1,
C3ZFY3,C3ZFY3_BRAFL,nan,BRAFL,5.0,,,,,,1,1,,,,,1,1,1
F7EAU8,F7EAU8_ORNAN,ENSOANP00000026798,ORNAN,3.0,,,,,,,,,,1,,1,,1
H9H340,H9H340_MACMU,ENSMMUP00000007686,MACMU,2.0,,,,,,,,,,1,,1,,
C4QTZ2,nan,nan,nan,2.0,,,,,,1,,,,,,1,,
C5J8W5,nan,nan,nan,1.0,,,,,,,,,,,,1,,
