ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q960A2,Q960A2_CAEEL,nan,CAEEL,12.0,1,1,,1,1,1,1,1,1,,1,1,1,1
O08648,M3K4_MOUSE,nan,MOUSE,11.0,1,1,,1,1,1,,1,1,,1,1,1,1
F7AKA6,F7AKA6_MONDO,ENSMODP00000008180,MONDO,11.0,1,1,,1,1,1,,1,1,,1,1,1,1
F1Q3N8,F1Q3N8_CANFA,ENSCAFP00000030813,CANFA,11.0,1,1,,1,1,1,,1,1,,1,1,1,1
E1BXN6,E1BXN6_CHICK,nan,CHICK,11.0,1,1,,1,1,1,,1,1,,1,1,1,1
nan,nan,ENSPTRP00000041330,PANTR,10.0,1,1,,,1,1,,1,1,,1,1,1,1
H2UXU6,H2UXU6_TAKRU,ENSTRUP00000041775,TAKRU,10.0,,,,1,1,1,1,1,1,,1,1,1,1
F6PR50,F6PR50_MACMU,ENSMMUP00000008076,MACMU,10.0,1,1,,,1,1,,1,1,,1,1,1,1
Q9Y6R4,M3K4_HUMAN,nan,HUMAN,10.0,1,1,,,1,1,,1,1,,1,1,1,1
D3ZGU6,D3ZGU6_RAT,nan,RAT,10.0,1,1,,,1,1,,1,1,,1,1,1,1
F1N3T0,F1N3T0_BOVIN,ENSBTAP00000026753,BOVIN,9.0,,,,1,1,1,,1,1,,1,1,1,1
Q7QBZ1,Q7QBZ1_ANOGA,nan,ANOGA,9.0,1,1,,,,1,1,1,1,,,1,1,1
Q8MSQ4,Q8MSQ4_DROME,nan,DROME,9.0,1,1,,,,1,1,1,1,,,1,1,1
B0XQL3,B0XQL3_ASPFC,nan,ASPFC,7.0,1,,,,,1,,1,1,,,1,1,1
O14299,WIS4_SCHPO,nan,SCHPO,7.0,,1,,,,1,,1,1,,,1,1,1
Q5K8I5,Q5K8I5_CRYNJ,nan,CRYNJ,6.0,1,,,,,1,1,1,1,,,,,1
Q0UM18,Q0UM18_PHANO,nan,PHANO,6.0,1,1,,,,,,,1,,,1,1,1
A7EMP9,A7EMP9_SCLS1,nan,SCLS1,6.0,1,1,,,,,,,1,,,1,1,1
F6TE72,F6TE72_CIOIN,ENSCINP00000025624,CIOIN,5.0,,,,,1,1,,1,,,1,,,1
Q6CHT2,Q6CHT2_YARLI,nan,YARLI,5.0,1,,,,,1,,1,1,,,,,1
Q5A6J4,Q5A6J4_CANAL,nan,CANAL,4.0,,,,,,,,,1,,,1,1,1
Q876Z5,Q876Z5_NEUCS,nan,NEUCR,4.0,,,,,,,,,1,,,1,1,1
Q4PEB9,Q4PEB9_USTMA,nan,USTMA,4.0,,,,,,,1,1,1,,,,,1
F7E6U2,F7E6U2_ORNAN,ENSOANP00000021059,ORNAN,3.0,,,,,,1,,1,,,,,,1
P25390,SSK22_YEAST,nan,YEAST,3.0,1,,,,,,,,1,,,,,1
A7S4G7,A7S4G7_NEMVE,nan,NEMVE,2.0,,,,,1,,,,,,1,,,
Q61084,M3K3_MOUSE,nan,MOUSE,2.0,,,,,,,,1,,,1,,,
F6USY2,F6USY2_MONDO,ENSMODP00000012500,MONDO,2.0,,,,,,,,1,,,1,,,
F6U9K7,F6U9K7_ORNAN,ENSOANP00000004502,ORNAN,2.0,,,,,,,,,1,,,1,,
F7AIB6,F7AIB6_MACMU,ENSMMUP00000022022,MACMU,2.0,,,,,,,,1,,,1,,,
A7SHJ2,A7SHJ2_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,,1
H2TNG8,H2TNG8_TAKRU,ENSTRUP00000026224,TAKRU,2.0,,,,,,,,1,,,1,,,
nan,nan,ENSCINP00000023988,CIOIN,2.0,1,1,,,,,,,,,,,,
nan,nan,ENSCAFP00000019051,CANFA,2.0,,,,,,,,1,,,1,,,
F1MH06,F1MH06_BOVIN,ENSBTAP00000010716,BOVIN,2.0,,,,,,,,1,,,1,,,
Q99759,M3K3_HUMAN,nan,HUMAN,2.0,,,,,,,,1,,,1,,,
O74304,WIN1_SCHPO,nan,SCHPO,2.0,,,,,,,,,1,,,,,1
