ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2RS43,A2RS43_MOUSE,nan,MOUSE,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
E1BCK4,E1BCK4_BOVIN,ENSBTAP00000000069,BOVIN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F7HN04,F7HN04_MACMU,ENSMMUP00000015617,MACMU,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q68HB8,Q68HB8_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
O60245,PCDH7_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F1PIR6,F1PIR6_CANFA,ENSCAFP00000024067,CANFA,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F6S0G8,F6S0G8_MONDO,ENSMODP00000000032,MONDO,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
nan,nan,ENSPTRP00000027497,PANTR,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F6UA35,F6UA35_XENTR,ENSXETP00000048276,XENTR,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
E1BT47,E1BT47_CHICK,nan,CHICK,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
B0UX50,B0UX50_DANRE,nan,DANRE,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
H2UKK4,H2UKK4_TAKRU,ENSTRUP00000037475,TAKRU,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
F6VZT8,F6VZT8_CIOIN,ENSCINP00000003100,CIOIN,5.0,,,,,,,,1,1,,1,1,1,
F6SJ51,F6SJ51_ORNAN,ENSOANP00000016357,ORNAN,3.0,,,,,,,1,,,,,1,,1
H2SRA5,H2SRA5_TAKRU,ENSTRUP00000014942,TAKRU,2.0,,,,,,,,,,,1,,,1
C3XXC1,C3XXC1_BRAFL,nan,BRAFL,2.0,,,,,,,,1,1,,,,,
A7SLK9,A7SLK9_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,1,
F1QAA1,F1QAA1_DANRE,ENSDARP00000100086,DANRE,2.0,,,,,,,,,,,1,,,1
B7P2E9,B7P2E9_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,,1,1,
C4QPI6,nan,nan,nan,1.0,,,,,,,,,,,1,,,
F6SJ39,F6SJ39_ORNAN,ENSOANP00000016358,ORNAN,1.0,,,,,,,,,,,,1,,
C4QHF8,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4QJ95,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4QNC9,nan,nan,nan,1.0,,,,,,,,,,,1,,,
O62328,O62328_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
C4QFK4,nan,nan,nan,1.0,,,,,,,,,,,1,,,
P33450,FAT_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
nan,nan,ENSGALP00000036569,CHICK,1.0,,,,,,,,,,,,,,1
Q9VFH5,Q9VFH5_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q89NW9,Q89NW9_BRADU,nan,BRADU,1.0,,,,,,,,,,,1,,,
Q7UWZ8,Q7UWZ8_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
Q7Q3K5,Q7Q3K5_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7Q3J3,Q7Q3J3_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
Q7PUW9,Q7PUW9_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7PR41,Q7PR41_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q74GG7,Q74GG7_GEOSL,nan,GEOSL,1.0,,,,,,,,,,,1,,,
Q5TST7,Q5TST7_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q5D716,Q5D716_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q24292,DS_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q19194,Q19194_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
P73089,P73089_SYNY3,nan,SYNY3,1.0,,,,,,,,,,,1,,,
P34616,CADH3_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
C4QG18,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4QAE5,nan,nan,nan,1.0,,,,,,,,,,,,,,1
C4QC54,nan,nan,nan,1.0,,,,,,,,,,,1,,,
A9UQR1,A9UQR1_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9V949,A9V949_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9V8Y4,A9V8Y4_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9V792,A9V792_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9V4T0,A9V4T0_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9V4S9,A9V4S9_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9V4E5,A9V4E5_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9URA8,A9URA8_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9UQP1,A9UQP1_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A7RQM0,A7RQM0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7T100,A7T100_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SV36,A7SV36_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7SAP5,A7SAP5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7S9Y3,A7S9Y3_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7S751,A7S751_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7S5P0,A7S5P0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7S5N5,A7S5N5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A9VBI6,A9VBI6_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9VBJ4,A9VBJ4_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9VDP0,A9VDP0_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
B7Q6G4,B7Q6G4_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
C4QA54,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4Q8U6,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4Q400,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4Q3W3,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4Q0Z6,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4Q0N4,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4Q041,nan,nan,nan,1.0,,,,,,,,,1,,,,,
C4PYL0,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4PX75,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C3ZWR1,C3ZWR1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3ZUH9,C3ZUH9_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3XXE1,C3XXE1_BRAFL,nan,BRAFL,1.0,,,,,,,,1,,,,,,
C1LZR2,nan,nan,nan,1.0,,,,,,,,,,,1,,,
B7QHB6,B7QHB6_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
B7QEG1,B7QEG1_IXOSC,nan,IXOSC,1.0,,,,,,,,,1,,,,,
nan,nan,ENSXETP00000048301,XENTR,1.0,,,,,,,,,,,,,,1
