ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7QI17,Q7QI17_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9VA76,Q9VA76_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7MBA3,A7MBA3_BOVIN,ENSBTAP00000026905,BOVIN,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
E1C1R3,E1C1R3_CHICK,ENSGALP00000024136,CHICK,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
E2RLG3,E2RLG3_CANFA,ENSCAFP00000013633,CANFA,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
F7DGB5,F7DGB5_MACMU,ENSMMUP00000028130,MACMU,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
F7ELU0,F7ELU0_XENTR,ENSXETP00000037227,XENTR,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
H2QR43,H2QR43_PANTR,ENSPTRP00000029121,PANTR,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
P24387,CRHBP_HUMAN,nan,HUMAN,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
P24388,CRHBP_RAT,nan,RAT,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
Q60571,CRHBP_MOUSE,nan,MOUSE,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
Q6DG79,Q6DG79_DANRE,nan,DANRE,12.0,1,1,,1,1,1,1,1,1,1,1,1,1,
F6WNR7,F6WNR7_MONDO,ENSMODP00000024647,MONDO,11.0,1,1,,,1,1,1,1,1,1,1,1,1,
H2UE09,H2UE09_TAKRU,ENSTRUP00000035178,TAKRU,10.0,,,1,,,1,1,1,1,1,1,1,1,1
B7Q2H4,B7Q2H4_IXOSC,nan,IXOSC,9.0,1,,,,,1,1,1,1,1,,1,1,1
H2VCJ5,H2VCJ5_TAKRU,ENSTRUP00000046938,TAKRU,7.0,,,,,1,,,1,1,1,1,1,1,
