ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7QH36,Q7QH36_ANOGA,nan,ANOGA,11.0,,,1,1,,1,1,1,1,1,1,1,1,1
D3ZXU2,nan,nan,nan,5.0,,,,1,,,,,1,1,1,1,,
Q8MRA8,Q8MRA8_DROME,nan,DROME,5.0,,,1,,,,,,1,,1,1,,1
F1MXQ4,F1MXQ4_BOVIN,ENSBTAP00000030954,BOVIN,5.0,,,,,,1,,1,1,1,1,,,
A7RMP8,A7RMP8_NEMVE,nan,NEMVE,5.0,,,,,,,,1,1,,1,1,1,
A7RMF4,A7RMF4_NEMVE,nan,NEMVE,5.0,,,,,,,,1,1,,1,1,1,
H2U1K9,H2U1K9_TAKRU,ENSTRUP00000030820,TAKRU,4.0,,,,,,,,1,1,1,1,,,
O45470,O45470_CAEEL,nan,CAEEL,4.0,,,1,,,,,1,1,,1,,,
Q7JY04,Q7JY04_DROME,nan,DROME,4.0,,,,,,,,,1,,1,1,,1
Q7KS40,Q7KS40_DROME,nan,DROME,4.0,,,,,,,,,1,,1,1,,1
C3XYM8,C3XYM8_BRAFL,nan,BRAFL,4.0,,,,,,1,,1,,,1,1,,
C3ZYX0,C3ZYX0_BRAFL,nan,BRAFL,4.0,,,,,,,,1,1,,1,1,,
F7AR94,F7AR94_MONDO,ENSMODP00000025560,MONDO,4.0,,,,,,,,1,1,1,1,,,
Q9VCK7,Q9VCK7_DROME,nan,DROME,4.0,,,,,,,,,1,,1,1,,1
Q9VCK8,Q9VCK8_DROME,nan,DROME,4.0,,,,,,,,,1,,1,1,,1
Q9VCK9,Q9VCK9_DROME,nan,DROME,4.0,,,,,,,,,1,,1,1,,1
Q9VDC5,Q9VDC5_DROME,nan,DROME,4.0,,,,,,,,,1,,1,1,,1
Q9VPZ4,Q9VPZ4_DROME,nan,DROME,4.0,,,,,,,,,1,,1,1,,1
Q9VWG5,Q9VWG5_DROME,nan,DROME,4.0,,,,,,,,,1,,1,1,,1
Q9VWG6,Q9VWG6_DROME,nan,DROME,4.0,,,,,,,,,1,,1,1,,1
Q9W322,Q9W322_DROME,nan,DROME,4.0,,,,,,,,,1,,1,1,,1
A7RMP7,A7RMP7_NEMVE,nan,NEMVE,4.0,,,,,,,,1,1,,1,,1,
Q86L41,Q86L41_DICDI,nan,DICDI,3.0,,,,,,,,,,1,1,,1,
F7DH94,F7DH94_ORNAN,ENSOANP00000005445,ORNAN,3.0,,,,,,,,,1,1,1,,,
F7AR57,F7AR57_CIOIN,ENSCINP00000013754,CIOIN,3.0,,,,,,,,1,1,,1,,,
F1PVB8,F1PVB8_CANFA,ENSCAFP00000000140,CANFA,3.0,,,,,,,,,1,1,1,,,
Q8BML2,Q8BML2_MOUSE,nan,MOUSE,3.0,,,,,,,,,1,1,1,,,
nan,nan,ENSCINP00000026790,CIOIN,3.0,,,,,,,,1,,,1,1,,
C3XYN0,C3XYN0_BRAFL,nan,BRAFL,3.0,,,,,,,,,1,,1,1,,
C3Y323,C3Y323_BRAFL,nan,BRAFL,3.0,,,,,,,,1,1,,1,,,
A9VCY9,A9VCY9_MONBE,nan,MONBE,3.0,,,,,,,,1,1,,1,,,
C3YTJ7,C3YTJ7_BRAFL,nan,BRAFL,3.0,,,,,,,,1,1,,1,,,
C3YTJ1,C3YTJ1_BRAFL,nan,BRAFL,3.0,,,,,,,,1,1,,1,,,
O18176,nan,nan,nan,2.0,,,,,,,,1,1,,,,,
O17856,nan,nan,nan,2.0,,,,,,,,1,1,,,,,
C3XVA9,C3XVA9_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,1,1,,
B7TWP6,B7TWP6_DANRE,nan,DANRE,2.0,,,,,,1,,1,,,,,,
Q19239,Q19239_CAEEL,nan,CAEEL,2.0,,,,,,,,1,1,,,,,
Q9UAQ8,Q9UAQ8_CAEEL,nan,CAEEL,2.0,,,,,,,,1,1,,,,,
Q9UAQ9,Q9UAQ9_CAEEL,nan,CAEEL,2.0,,,,,,,,1,1,,,,,
B7QCZ1,B7QCZ1_IXOSC,nan,IXOSC,2.0,,,,,,,,1,1,,,,,
O45283,O45283_CAEEL,nan,CAEEL,2.0,,,,,,,,1,1,,,,,
O45282,O45282_CAEEL,nan,CAEEL,2.0,,,,,,,,1,1,,,,,
Q8F6C6,Q8F6C6_LEPIN,nan,LEPIN,2.0,,,,,,,1,,1,,,,,
O17855,nan,nan,nan,2.0,,,,,,,,1,1,,,,,
F7AY16,F7AY16_MACMU,ENSMMUP00000041190,MACMU,2.0,,,,,,,,,,1,1,,,
C3ZYW9,C3ZYW9_BRAFL,nan,BRAFL,2.0,,,,,,,,,1,,1,,,
C3ZP79,C3ZP79_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,1,1,,
C3Z8F1,C3Z8F1_BRAFL,nan,BRAFL,2.0,,,,,,,,,1,,1,,,
C3ZG77,C3ZG77_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,1,1,,
C4PXV0,nan,nan,nan,2.0,,,,,,,,,1,,1,,,
C3ZP78,C3ZP78_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,1,1,,
Q93760,nan,nan,nan,1.0,,,,,,,,,1,,,,,
A9VAY9,A9VAY9_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
Q8F968,Q8F968_LEPIN,nan,LEPIN,1.0,,,,,,,,,1,,,,,
B0Y645,B0Y645_ASPFC,nan,ASPFC,1.0,,,,,,,,,1,,,,,
B8C9L2,B8C9L2_THAPS,nan,THAPS,1.0,,,,,,1,,,,,,,,
B7PWK1,B7PWK1_IXOSC,nan,IXOSC,1.0,,,,1,,,,,,,,,,
B7PJV6,B7PJV6_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7PJ15,B7PJ15_IXOSC,nan,IXOSC,1.0,,,,,,,,1,,,,,,
B7P292,B7P292_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
C3ZP80,C3ZP80_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
Q17701,Q17701_CAEEL,nan,CAEEL,1.0,,,,,,,,,1,,,,,
Q89SP0,Q89SP0_BRADU,nan,BRADU,1.0,,,,,,,,,1,,,,,
Q872B3,Q872B3_NEUCS,nan,NEUCR,1.0,,,,,,,,,1,,,,,
Q7SAV1,Q7SAV1_NEUCR,nan,NEUCR,1.0,,,,,,,,,1,,,,,
C3Y236,C3Y236_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
Q20900,nan,nan,nan,1.0,,,,,,,,,,1,,,,
C3ZQV4,C3ZQV4_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
Q0UYN9,Q0UYN9_PHANO,nan,PHANO,1.0,,,,,,,,,1,,,,,
Q0UKV2,Q0UKV2_PHANO,nan,PHANO,1.0,,,,,,,,,1,,,,,
Q0UA05,Q0UA05_PHANO,nan,PHANO,1.0,,,,,,,,,1,,,,,
Q09225,NRF6_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
C3YJK1,C3YJK1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3YUK5,C3YUK5_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3ZH26,C3ZH26_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C4QH53,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C3ZTU0,C3ZTU0_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
A7F3R9,A7F3R9_SCLS1,nan,SCLS1,1.0,,,,,,,,,1,,,,,
