ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A0NF86,A0NF86_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9V3I2,Q9V3I2_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6S1S7,F6S1S7_CIOIN,ENSCINP00000006853,CIOIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q86JP3,RAB5A_DICDI,nan,DICDI,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P91857,P91857_CAEEL,nan,CAEEL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q0V4G3,Q0V4G3_PHANO,nan,PHANO,13.0,1,1,1,1,,1,1,1,1,1,1,1,1,1
C3YYJ2,C3YYJ2_BRAFL,nan,BRAFL,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
A9VDI3,A9VDI3_MONBE,nan,MONBE,13.0,1,1,1,1,1,1,1,1,1,1,1,,1,1
Q4PBM8,Q4PBM8_USTMA,nan,USTMA,13.0,1,1,1,1,,1,1,1,1,1,1,1,1,1
P36586,YPT5_SCHPO,nan,SCHPO,13.0,1,1,1,1,,1,1,1,1,1,1,1,1,1
B7P2F7,B7P2F7_IXOSC,nan,IXOSC,13.0,1,1,1,1,1,1,1,1,1,1,1,1,,1
A7RG79,A7RG79_NEMVE,nan,NEMVE,12.0,1,1,,1,1,1,1,1,1,1,1,,1,1
B8BUG2,B8BUG2_THAPS,nan,THAPS,12.0,1,1,1,1,,1,1,1,1,1,1,,1,1
F7GBD2,F7GBD2_ORNAN,ENSOANP00000007911,ORNAN,10.0,1,1,,1,,1,1,1,1,1,1,,1,
Q7SFD7,Q7SFD7_NEUCR,nan,NEUCR,10.0,1,,1,,,1,1,1,1,1,1,,1,1
A7F6C0,A7F6C0_SCLS1,nan,SCLS1,10.0,1,,,,,1,1,1,1,1,1,1,1,1
Q59X89,Q59X89_CANAL,nan,CANAL,10.0,1,,,1,1,1,1,1,,,1,1,1,1
C4Q849,nan,nan,nan,10.0,,,,,1,1,1,1,1,1,1,1,1,1
Q8I274,Q8I274_PLAF7,nan,PLAF7,9.0,1,1,,,,1,1,1,1,,1,,1,1
Q5K7V1,Q5K7V1_CRYNJ,nan,CRYNJ,9.0,1,,,1,1,1,1,1,,,1,,1,1
Q6C9Z5,Q6C9Z5_YARLI,nan,YARLI,9.0,,,,,1,1,1,1,,1,1,1,1,1
D4ABV4,nan,nan,nan,9.0,1,1,,1,1,1,,1,1,,1,,1,
G2HJF5,G2HJF5_PANTR,ENSPTRP00000015661,PANTR,8.0,,,1,,1,1,1,1,1,,1,,1,
P61021,RAB5B_MOUSE,nan,MOUSE,8.0,,1,,,,1,1,1,1,,1,,1,1
P51147,RAB5C_CANFA,ENSCAFP00000022977,CANFA,8.0,,,1,,1,1,1,1,1,,1,,1,
Q5ZHW4,RAB5B_CHICK,nan,CHICK,8.0,,,,,,1,1,1,1,,1,1,1,1
P31582,RAF2A_ARATH,nan,ARATH,8.0,,,1,,,1,1,1,1,,1,,1,1
B0Y5Z7,B0Y5Z7_ASPFC,nan,ASPFC,8.0,1,,,,,1,1,1,1,,1,,1,1
P51148,RAB5C_HUMAN,nan,HUMAN,7.0,,,1,,1,1,1,1,1,,1,,,
F7G108,F7G108_MACMU,ENSMMUP00000019379,MACMU,7.0,,,1,,1,,1,1,1,,1,,1,
Q6DJ60,Q6DJ60_XENTR,ENSXETP00000004928,XENTR,7.0,,,,,,1,,1,1,1,1,,1,1
Q6C077,Q6C077_YARLI,nan,YARLI,7.0,1,,1,,,,,,1,,1,1,1,1
F7HL78,F7HL78_MACMU,ENSMMUP00000039450,MACMU,7.0,,1,,,,1,,1,1,,1,,1,1
C4Q848,nan,nan,nan,7.0,,,1,,,,,1,1,1,,1,1,1
F7G6R0,F7G6R0_MONDO,ENSMODP00000018499,MONDO,6.0,,,1,,1,1,,1,1,,1,,,
A7EQ05,A7EQ05_SCLS1,nan,SCLS1,6.0,,,,,1,,,,,1,1,1,1,1
Q0U8U2,Q0U8U2_PHANO,nan,PHANO,6.0,,,,,1,,,,,1,1,1,1,1
P61020,RAB5B_HUMAN,nan,HUMAN,6.0,,,,,,,,1,1,,1,1,1,1
P36017,VPS21_YEAST,nan,YEAST,6.0,,,,,1,1,1,1,,,1,,,1
Q4QGD2,Q4QGD2_LEIMA,nan,LEIMA,6.0,1,,,1,,1,1,1,,,1,,,
Q58DS9,RAB5C_BOVIN,ENSBTAP00000015581,BOVIN,6.0,,,,,1,1,1,1,1,,1,,,
Q8C266,Q8C266_MOUSE,nan,MOUSE,5.0,,,1,,1,,,1,1,,1,,,
Q28GT2,Q28GT2_XENTR,ENSXETP00000004927,XENTR,5.0,,,1,,1,,,1,1,,1,,,
Q7ZVP2,Q7ZVP2_DANRE,nan,DANRE,5.0,,,,1,1,,,1,1,,1,,,
F7E6H4,F7E6H4_MONDO,ENSMODP00000018500,MONDO,5.0,,,,,,,1,1,1,1,1,,,
Q7ZUW5,Q7ZUW5_DANRE,nan,DANRE,5.0,,,,,,1,1,1,1,,1,,,
Q4PG58,Q4PG58_USTMA,nan,USTMA,5.0,,,,,1,,,,,,1,1,1,1
Q9SN68,RAF2B_ARATH,nan,ARATH,5.0,,,,,,,,1,1,,1,,1,1
Q98932,RAB5C_CHICK,nan,CHICK,5.0,,,1,,1,,,1,1,,1,,,
A9SNA5,A9SNA5_PHYPA,nan,PHYPA,5.0,,,,,,1,1,1,,,1,,,1
Q59ZX5,Q59ZX5_CANAL,nan,CANAL,5.0,,,,,,,,,1,,1,1,1,1
Q5BKN0,Q5BKN0_XENTR,ENSXETP00000002354,XENTR,5.0,,,,,,,,1,1,,1,,1,1
H2TU28,H2TU28_TAKRU,ENSTRUP00000028186,TAKRU,5.0,,,,,,1,1,1,1,,1,,,
F1MNI4,F1MNI4_BOVIN,ENSBTAP00000018777,BOVIN,5.0,,,,,,,,1,1,,1,,1,1
H2USD1,H2USD1_TAKRU,ENSTRUP00000039854,TAKRU,5.0,,,1,,1,,,1,1,,1,,,
P36019,YPT53_YEAST,nan,YEAST,5.0,,,,,,,,1,,,1,1,1,1
E2QW69,E2QW69_CANFA,ENSCAFP00000000123,CANFA,5.0,,,,,,,,1,1,,1,,1,1
B0XXS7,B0XXS7_ASPFC,nan,ASPFC,5.0,,,,,1,,,,,1,1,,1,1
D3ZMT3,nan,nan,nan,5.0,,,,,,,1,,,1,1,,1,1
Q7RWE8,Q7RWE8_NEUCR,nan,NEUCR,5.0,,,,,1,,,,,1,1,,1,1
H2Q672,H2Q672_PANTR,ENSPTRP00000008634,PANTR,5.0,,,,,,,,1,1,,1,,1,1
H2TIP8,H2TIP8_TAKRU,ENSTRUP00000024550,TAKRU,4.0,,,,,,,,1,1,1,1,,,
A2E0I5,A2E0I5_TRIVA,nan,TRIVA,4.0,1,,,,,1,,1,,,,,,1
H2UPZ5,H2UPZ5_TAKRU,ENSTRUP00000039016,TAKRU,4.0,,,,,,,,,1,,1,,1,1
P36018,YPT52_YEAST,nan,YEAST,4.0,,,1,,,,,,1,,1,,,1
P18066,RAB5A_CANFA,ENSCAFP00000008690,CANFA,4.0,,,,,,,,1,1,,1,,1,
Q7ZUG4,Q7ZUG4_DANRE,nan,DANRE,4.0,,,,,,,,1,1,1,1,,,
Q9CQD1,RAB5A_MOUSE,nan,MOUSE,4.0,,,,,,,,1,1,1,1,,,
Q5KAE3,Q5KAE3_CRYNJ,nan,CRYNJ,4.0,,,,,,,,,,1,1,,1,1
Q66JD2,Q66JD2_XENTR,ENSXETP00000030581,XENTR,4.0,,,,,,,1,1,1,,1,,,
Q6NYD6,Q6NYD6_DANRE,nan,DANRE,4.0,,,,,,,,,1,,1,,1,1
F7DQ40,F7DQ40_MACMU,ENSMMUP00000009173,MACMU,4.0,,,,,,,,1,1,,1,,1,
H2QM62,H2QM62_PANTR,ENSPTRP00000025327,PANTR,3.0,,,,,,,,1,1,,1,,,
Q4QDS9,Q4QDS9_LEIMA,nan,LEIMA,3.0,,,,,,,,,1,,1,,,1
nan,nan,ENSBTAP00000017290,BOVIN,3.0,,,,,,,,1,1,,1,,,
F6USL3,F6USL3_MACMU,ENSMMUP00000040935,MACMU,3.0,,,,,,,,1,1,,,,1,
A9U4W5,A9U4W5_PHYPA,nan,PHYPA,3.0,,,,,,,,1,,,1,,,1
Q5ZIP7,Q5ZIP7_CHICK,nan,CHICK,3.0,,,,,,,,1,1,,1,,,
A9WK14,A9WK14_CHLAA,nan,CHLAA,3.0,,,,,,,,,1,1,1,,,
P20339,RAB5A_HUMAN,nan,HUMAN,3.0,,,,,,,,1,1,,1,,,
Q9CB01,RABF1_ARATH,nan,ARATH,2.0,,,,,,,,,,,1,,,1
nan,nan,ENSBTAP00000046731,BOVIN,2.0,,,,,1,,,,,,1,,,
B8BRY5,B8BRY5_THAPS,nan,THAPS,2.0,,,,,,,,,,,1,1,,
E1C6J7,E1C6J7_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
C3ZC01,C3ZC01_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
Q76NM7,Q76NM7_PLAF7,nan,PLAF7,1.0,,,,,,,,,,,1,,,
Q6TGV2,Q6TGV2_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
D4A9H0,D4A9H0_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
Q6GQP4,RAB31_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
E1BTI1,E1BTI1_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
P35292,RAB17_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
B5YNY6,B5YNY6_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
E2RU24,E2RU24_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
Q5ZLB8,Q5ZLB8_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
