ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A2ER47,A2ER47_TRIVA,nan,TRIVA,5.0,,,,,,1,,1,1,1,1,,,
Q95NM4,nan,nan,nan,4.0,,,,,,1,,1,1,,1,,,
Q0UZ07,Q0UZ07_PHANO,nan,PHANO,3.0,,,,,,,,1,1,,1,,,
F7A1R5,F7A1R5_CIOIN,ENSCINP00000017077,CIOIN,3.0,,,,,,,,1,1,,1,,,
F7EC12,F7EC12_XENTR,ENSXETP00000020678,XENTR,3.0,,,,,,,,1,1,,1,,,
H2QX34,H2QX34_PANTR,ENSPTRP00000035626,PANTR,3.0,,,,,,,,1,1,,1,,,
A7E5A3,A7E5A3_SCLS1,nan,SCLS1,3.0,,,,,,,,1,1,,1,,,
O94289,LUB1_SCHPO,nan,SCHPO,3.0,,,,,,,,1,1,,1,,,
P27612,PLAP_MOUSE,nan,MOUSE,3.0,,,,,,,,1,1,,1,,,
P36037,DOA1_YEAST,nan,YEAST,3.0,,,,,,,,1,1,,1,,,
P54319,PLAP_RAT,nan,RAT,3.0,,,,,,,,1,1,,1,,,
Q4P9A4,Q4P9A4_USTMA,nan,USTMA,3.0,,,,,,,,1,1,,1,,,
F6R9Z4,F6R9Z4_MONDO,ENSMODP00000005121,MONDO,3.0,,,,,,,,1,1,,1,,,
Q54F90,Q54F90_DICDI,nan,DICDI,3.0,,,,,,,,1,1,,1,,,
Q5APD6,Q5APD6_CANAL,nan,CANAL,3.0,,,,,,,,1,1,,1,,,
Q5K8K4,Q5K8K4_CRYNJ,nan,CRYNJ,3.0,,,,,,,,1,1,,1,,,
Q6C9H6,Q6C9H6_YARLI,nan,YARLI,3.0,,,,,,,,1,1,,1,,,
Q7Q8I1,Q7Q8I1_ANOGA,nan,ANOGA,3.0,,,,,,,,1,1,,1,,,
Q7SFF1,Q7SFF1_NEUCR,nan,NEUCR,3.0,,,,,,,,1,1,,1,,,
Q7SXM2,Q7SXM2_DANRE,nan,DANRE,3.0,,,,,,,,1,1,,1,,,
Q9VPY2,Q9VPY2_DROME,nan,DROME,3.0,,,,,,,,1,1,,1,,,
F6VW58,F6VW58_MACMU,ENSMMUP00000007981,MACMU,3.0,,,,,,,,1,1,,1,,,
H2RZU0,H2RZU0_TAKRU,ENSTRUP00000005661,TAKRU,3.0,,,,,,,,1,1,,1,,,
B7PWX1,B7PWX1_IXOSC,nan,IXOSC,3.0,,,,,,,,1,1,,1,,,
E2RI74,E2RI74_CANFA,ENSCAFP00000002468,CANFA,3.0,,,,,,,,1,1,,1,,,
A7Z055,A7Z055_BOVIN,ENSBTAP00000017298,BOVIN,3.0,,,,,,,,1,1,,1,,,
B0Y3Z0,B0Y3Z0_ASPFC,nan,ASPFC,3.0,,,,,,,,1,1,,1,,,
C3Y9Y1,C3Y9Y1_BRAFL,nan,BRAFL,3.0,,,,,,,,1,1,,1,,,
Q9Y263,PLAP_HUMAN,nan,HUMAN,3.0,,,,,,,,1,1,,1,,,
F1NGY5,F1NGY5_CHICK,ENSGALP00000002744,CHICK,3.0,,,,,,,,1,1,,1,,,
Q9LHN3,Q9LHN3_ARATH,nan,ARATH,2.0,,,,,,,,,1,,1,,,
C4Q205,nan,nan,nan,2.0,,,,,,,,1,1,,,,,
A9RZ25,A9RZ25_PHYPA,nan,PHYPA,2.0,,,,,,,,,1,,1,,,
Q8ID72,Q8ID72_PLAF7,nan,PLAF7,2.0,,,,,,,,,1,,1,,,
