ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A9JTN0,A9JTN0_XENTR,ENSXETP00000006643,XENTR,1.0,,,,,,,,,,,,1,,
C5J8W5,nan,nan,nan,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000040818,BOVIN,1.0,,,,,,,,,,,,1,,
Q9VWY7,Q9VWY7_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q9H7P6,MB12B_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q96EY5,MB12A_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q7Q2L3,Q7Q2L3_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q78HU3,MB12A_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q6P777,MB12A_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
Q6KAU4,MB12B_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q5ZJX7,MB12A_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
Q5F367,Q5F367_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
Q3T0N1,MB12A_BOVIN,ENSBTAP00000005111,BOVIN,1.0,,,,,,,,,,,,1,,
Q17687,Q17687_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
H9H340,H9H340_MACMU,ENSMMUP00000007686,MACMU,1.0,,,,,,,,,,,,1,,
H2UAV3,H2UAV3_TAKRU,ENSTRUP00000034070,TAKRU,1.0,,,,,,,,,,,,1,,
H2U5D0,H2U5D0_TAKRU,ENSTRUP00000032146,TAKRU,1.0,,,,,,,,,,,,1,,
H2QXW5,H2QXW5_PANTR,ENSPTRP00000036528,PANTR,1.0,,,,,,,,,,,,1,,
H2QFR2,H2QFR2_PANTR,ENSPTRP00000018210,PANTR,1.0,,,,,,,,,,,,1,,
F7CYJ8,F7CYJ8_XENTR,ENSXETP00000001650,XENTR,1.0,,,,,,,,,,,,1,,
F6XEU0,F6XEU0_CIOIN,ENSCINP00000011486,CIOIN,1.0,,,,,,,,,,,,1,,
F6W7A1,F6W7A1_MONDO,ENSMODP00000024698,MONDO,1.0,,,,,,,,,,,,1,,
F6TFC5,F6TFC5_MACMU,ENSMMUP00000001164,MACMU,1.0,,,,,,,,,,,,1,,
F6R7R4,F6R7R4_MONDO,ENSMODP00000005485,MONDO,1.0,,,,,,,,,,,,1,,
E2RJN6,E2RJN6_CANFA,ENSCAFP00000022592,CANFA,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCAFP00000029913,CANFA,1.0,,,,,,,,,,,,1,,
