ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F1MXV4,F1MXV4_BOVIN,ENSBTAP00000035521,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSMODP00000010884,MONDO,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
O35412,SI1L1_RAT,nan,RAT,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
H2R394,H2R394_PANTR,ENSPTRP00000045117,PANTR,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
F7GQU2,F7GQU2_MACMU,ENSMMUP00000026403,MACMU,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
O43166,SI1L1_HUMAN,nan,HUMAN,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
Q8C0T5,SI1L1_MOUSE,nan,MOUSE,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
F7C891,F7C891_ORNAN,ENSOANP00000022187,ORNAN,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
F6Z627,F6Z627_XENTR,ENSXETP00000047192,XENTR,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
E1BQZ3,E1BQZ3_CHICK,nan,CHICK,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
E2QS96,E2QS96_CANFA,ENSCAFP00000024619,CANFA,11.0,1,1,,,1,1,1,1,1,1,1,1,1,
Q7Q4M6,Q7Q4M6_ANOGA,nan,ANOGA,11.0,,1,1,1,1,1,,1,,1,1,1,1,1
H2V905,H2V905_TAKRU,ENSTRUP00000045695,TAKRU,10.0,,,,,1,1,1,1,1,1,1,1,1,1
B3DK45,B3DK45_DANRE,nan,DANRE,10.0,,,,,1,1,1,1,1,1,1,1,1,1
Q20016,nan,nan,nan,9.0,,,,1,1,1,1,1,,,1,1,1,1
A7S022,A7S022_NEMVE,nan,NEMVE,9.0,,1,,,1,1,,1,,1,1,1,1,1
A9UR42,A9UR42_MONBE,nan,MONBE,7.0,,,,,1,1,1,1,,,1,,1,1
H2ULQ5,H2ULQ5_TAKRU,ENSTRUP00000037876,TAKRU,6.0,,,,,,,,1,,1,1,1,1,1
F6Y9G2,F6Y9G2_CIOIN,ENSCINP00000019324,CIOIN,4.0,,,,,1,,,,1,,1,,,1
nan,nan,ENSCINP00000023767,CIOIN,3.0,,,,,,1,1,1,,,,,,
H2RMS9,H2RMS9_TAKRU,ENSTRUP00000001442,TAKRU,3.0,,,1,1,,,,,,,,1,,
C3Y0D9,C3Y0D9_BRAFL,nan,BRAFL,3.0,,,,,1,,,,,,1,1,,
F7DI30,F7DI30_ORNAN,ENSOANP00000005412,ORNAN,2.0,,,1,1,,,,,,,,,,
Q54SS8,RGAPB_DICDI,nan,DICDI,2.0,,,,,,,,,,,1,1,,
B7Q7C5,B7Q7C5_IXOSC,nan,IXOSC,2.0,,,,,1,,,,,,1,,,
A2EWK9,A2EWK9_TRIVA,nan,TRIVA,1.0,,,,,,,,1,,,,,,
C4Q636,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q54EH3,Y1510_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54Q75,Q54Q75_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54RS9,Q54RS9_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
Q54RT1,Q54RT1_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q55AN8,Y1806_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q75J96,RGAP1_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q869V0,Q869V0_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
A7T5I6,A7T5I6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A2DXT2,A2DXT2_TRIVA,nan,TRIVA,1.0,,,,,,,,1,,,,,,
