ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3YWM0,C3YWM0_BRAFL,nan,BRAFL,4.0,,,,,,1,,,,1,,1,1,
F6Y1C0,F6Y1C0_XENTR,ENSXETP00000024937,XENTR,3.0,,,,,,,,,,1,,1,1,
F7DS03,F7DS03_XENTR,ENSXETP00000037799,XENTR,3.0,,,,,,,,,,1,,1,1,
nan,nan,ENSCAFP00000004847,CANFA,3.0,,,,,,,,,,1,,1,1,
Q9JKL1,PKR1_MOUSE,nan,MOUSE,3.0,,,,,,,,,,1,,1,1,
Q8TCW9,PKR1_HUMAN,nan,HUMAN,3.0,,,,,,,,,,1,,1,1,
Q8SPN1,PKR2_BOVIN,ENSBTAP00000021097,BOVIN,3.0,,,,,,,,,,1,,1,1,
Q8R416,PKR1_RAT,nan,RAT,3.0,,,,,,,,,,1,,1,1,
Q8R415,PKR2_RAT,nan,RAT,3.0,,,,,,,,,,1,,1,1,
Q8NFJ6,PKR2_HUMAN,nan,HUMAN,3.0,,,,,,,,,,1,,1,1,
Q8K458,PKR2_MOUSE,nan,MOUSE,3.0,,,,,,,,,,1,,1,1,
H2TWZ2,H2TWZ2_TAKRU,ENSTRUP00000029201,TAKRU,3.0,,,,,,,,,,1,,1,1,
H2RQG6,H2RQG6_TAKRU,ENSTRUP00000002381,TAKRU,3.0,,,,,,,,,,1,,1,1,
H2QJX4,H2QJX4_PANTR,ENSPTRP00000022679,PANTR,3.0,,,,,,,,,,1,,1,1,
H2QI09,H2QI09_PANTR,ENSPTRP00000020616,PANTR,3.0,,,,,,,,,,1,,1,1,
F7FAG1,F7FAG1_MONDO,ENSMODP00000004525,MONDO,3.0,,,,,,,,,,1,,1,1,
nan,nan,ENSCAFP00000008999,CANFA,3.0,,,,,,,,,,1,,1,1,
F6U3G1,F6U3G1_MACMU,ENSMMUP00000023286,MACMU,3.0,,,,,,,,,,1,,1,1,
F6S8Q3,F6S8Q3_MACMU,ENSMMUP00000004956,MACMU,3.0,,,,,,,,,,1,,1,1,
F1MF63,F1MF63_BOVIN,ENSBTAP00000027549,BOVIN,3.0,,,,,,,,,,1,,1,1,
F6XLT8,F6XLT8_ORNAN,ENSOANP00000013335,ORNAN,3.0,,,,,,,,,,1,,1,1,
B9W049,B9W049_CHICK,nan,CHICK,3.0,,,,,,,,,,1,,1,1,
A7RF31,A7RF31_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,1,
D3TZW3,D3TZW3_DANRE,ENSDARP00000102310,DANRE,2.0,,,,,,,,,,,,1,1,
Q7PYJ0,Q7PYJ0_ANOGA,nan,ANOGA,2.0,,,,,,,,,,,,1,1,
D3TZW2,D3TZW2_DANRE,ENSDARP00000109666,DANRE,2.0,,,,,,,,,,,,1,1,
A7SX20,A7SX20_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7S3S6,A7S3S6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7SAY6,A7SAY6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SQR4,A7SQR4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7RQ52,A7RQ52_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7T1H8,A7T1H8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
Q5KCU9,Q5KCU9_CRYNJ,nan,CRYNJ,1.0,,,,,,1,,,,,,,,
D3TZW3,D3TZW3_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
D3TZW2,D3TZW2_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
