ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
C3Z6F7,C3Z6F7_BRAFL,nan,BRAFL,13.0,,1,1,1,1,1,1,1,1,1,1,1,1,1
F6UP22,F6UP22_CANFA,ENSCAFP00000001288,CANFA,12.0,,1,1,1,1,1,,1,1,1,1,1,1,1
Q86PC6,Q86PC6_DROME,nan,DROME,11.0,,1,1,1,1,1,,1,1,,1,1,1,1
Q7Q990,Q7Q990_ANOGA,nan,ANOGA,11.0,,1,1,1,1,1,,1,1,,1,1,1,1
F6QLG8,F6QLG8_CIOIN,ENSCINP00000001287,CIOIN,11.0,,1,1,1,1,1,,1,1,,1,1,1,1
B7PAE2,B7PAE2_IXOSC,nan,IXOSC,11.0,,1,1,1,1,1,,1,1,,1,1,1,1
O15442,MPPD1_HUMAN,nan,HUMAN,10.0,,,1,,1,1,,1,1,1,1,1,1,1
D4A120,D4A120_RAT,nan,RAT,10.0,,,1,,1,1,,1,1,1,1,1,1,1
E1C8B4,E1C8B4_CHICK,nan,CHICK,10.0,,,1,,1,1,,1,1,1,1,1,1,1
A9VCW4,A9VCW4_MONBE,nan,MONBE,10.0,,,1,1,1,1,,1,1,,1,1,1,1
Q91ZG2,MPPD1_MOUSE,nan,MOUSE,10.0,,,1,,1,1,,1,1,1,1,1,1,1
A7S2M8,A7S2M8_NEMVE,nan,NEMVE,9.0,,,,1,1,1,,1,1,,1,1,1,1
Q0V1M7,Q0V1M7_PHANO,nan,PHANO,8.0,,,,,1,1,,1,1,,1,1,1,1
H2TGM8,H2TGM8_TAKRU,ENSTRUP00000023826,TAKRU,8.0,,,1,,1,,,1,1,,1,1,1,1
F7BK04,F7BK04_MONDO,ENSMODP00000011932,MONDO,8.0,,1,,1,,1,,1,1,,,1,1,1
F6WJ08,F6WJ08_MACMU,ENSMMUP00000023155,MACMU,8.0,,1,,1,,1,,1,1,,,1,1,1
F6UG42,F6UG42_XENTR,ENSXETP00000010553,XENTR,8.0,,,,,1,,,1,1,1,1,1,1,1
Q28GP2,Q28GP2_XENTR,ENSXETP00000046227,XENTR,8.0,,1,,1,,1,,1,1,,,1,1,1
A5PJ77,A5PJ77_BOVIN,ENSBTAP00000027909,BOVIN,8.0,,1,,1,,1,,1,1,,,1,1,1
nan,nan,ENSPTRP00000045515,PANTR,8.0,,1,,1,,1,,1,1,,,1,1,1
A7F669,A7F669_SCLS1,nan,SCLS1,8.0,,,,,1,1,,1,1,,1,1,1,1
Q18161,YBPT_CAEEL,nan,CAEEL,7.0,,,1,,1,,,1,,,1,1,1,1
Q22306,YW12_CAEEL,nan,CAEEL,7.0,,1,,,,1,,1,1,,,1,1,1
B0YEQ4,B0YEQ4_ASPFC,nan,ASPFC,7.0,,,,,1,,,1,1,,1,1,1,1
B0XVL9,B0XVL9_ASPFC,nan,ASPFC,7.0,,,,,,1,,1,1,,1,1,1,1
F6WJR2,F6WJR2_ORNAN,ENSOANP00000013994,ORNAN,7.0,,,,,,1,,1,1,1,,1,1,1
H2UT11,H2UT11_TAKRU,ENSTRUP00000040084,TAKRU,6.0,,,,,,1,,1,1,,,1,1,1
Q7RWW9,Q7RWW9_NEUCR,nan,NEUCR,6.0,,,,,,1,,1,,1,1,1,1,
Q0U6I7,Q0U6I7_PHANO,nan,PHANO,6.0,,,,1,,,,1,,,1,1,1,1
Q567D4,Q567D4_DANRE,nan,DANRE,6.0,,,,,,1,,1,1,,,1,1,1
Q7S9T1,Q7S9T1_NEUCR,nan,NEUCR,6.0,,,,,1,,,,1,,1,1,1,1
nan,nan,ENSPTRP00000024940,PANTR,6.0,,,,,,,,1,1,1,,1,1,1
Q0V588,Q0V588_PHANO,nan,PHANO,5.0,,,,,,,,,,1,1,1,1,1
Q4Q1F4,Q4Q1F4_LEIMA,nan,LEIMA,5.0,,,,,1,,,1,,,1,,1,1
Q7ZUB6,Q7ZUB6_DANRE,nan,DANRE,5.0,,,,,,,,1,1,,,1,1,1
Q8X0G0,Q8X0G0_NEUCS,nan,NEUCR,5.0,,,,,,,1,,,1,1,1,1,
Q9CZJ0,MPPD2_MOUSE,nan,MOUSE,5.0,,,,,,,,1,1,,,1,1,1
Q15777,MPPD2_HUMAN,nan,HUMAN,5.0,,,,,,,,1,1,,,1,1,1
E1BXB8,E1BXB8_CHICK,nan,CHICK,5.0,,,,,,,,1,1,,,1,1,1
E2QWU3,E2QWU3_CANFA,ENSCAFP00000011189,CANFA,5.0,,,,,,,,1,1,,,1,1,1
Q0UL07,Q0UL07_PHANO,nan,PHANO,5.0,,,,,,,1,,,1,1,1,1,
B0XPG4,B0XPG4_ASPFC,nan,ASPFC,5.0,,,,,,,,1,,,1,1,1,1
B1WBP0,MPPD2_RAT,nan,RAT,5.0,,,,,,,,1,1,,,1,1,1
Q21268,YMSO_CAEEL,nan,CAEEL,4.0,,,,,,,,,,,1,1,1,1
A7EPY0,A7EPY0_SCLS1,nan,SCLS1,4.0,,,,,,,,,,,1,1,1,1
B0XNE6,B0XNE6_ASPFC,nan,ASPFC,4.0,,,,,,,,,,1,1,1,1,
A7E7M7,A7E7M7_SCLS1,nan,SCLS1,4.0,,,,,,,,,,1,1,1,1,
B8BU60,B8BU60_THAPS,nan,THAPS,4.0,,,,,1,1,,,,,1,,,1
Q7UYQ6,Q7UYQ6_RHOBA,nan,RHOBA,3.0,,,,,,,,1,,1,,,,1
F6ZDQ5,F6ZDQ5_MACMU,ENSMMUP00000029737,MACMU,3.0,,,,,,,,,,1,,1,,1
F7BUC9,F7BUC9_MONDO,ENSMODP00000008373,MONDO,3.0,,,,,,,,,,,,1,1,1
Q4PAX6,Q4PAX6_USTMA,nan,USTMA,3.0,,,,,,1,,1,,,,,,1
C4Q0T0,nan,nan,nan,3.0,,,,,1,,,,1,,1,,,
A7ETA5,A7ETA5_SCLS1,nan,SCLS1,3.0,,,,,,,,,,1,,1,1,
Q8EZB3,Q8EZB3_LEPIN,nan,LEPIN,2.0,,,,,1,,,,,,1,,,
Q9X7Y9,Q9X7Y9_STRCO,nan,STRCO,2.0,,,,,1,,,,,,1,,,
nan,nan,ENSOANP00000016980,ORNAN,2.0,,,,,,,,,,,,1,,1
Q8TQU0,Q8TQU0_METAC,nan,METAC,2.0,,,,,1,,,,,,1,,,
A9WDE4,A9WDE4_CHLAA,nan,CHLAA,2.0,,,,,1,,,,,,1,,,
F6XRA0,F6XRA0_ORNAN,ENSOANP00000028898,ORNAN,2.0,,,,,,,,,,1,,,,1
Q5JF36,Q5JF36_THEKO,nan,THEKO,2.0,,,,,1,,,,,,1,,,
H9H6M6,H9H6M6_MONDO,ENSMODP00000016592,MONDO,2.0,,,,,,,,,,,,1,,1
Q7S7M9,Q7S7M9_NEUCR,nan,NEUCR,2.0,,,,,,,,,,1,1,,,
A7F0S4,A7F0S4_SCLS1,nan,SCLS1,1.0,,,,,,,,,,1,,,,
Q5KEU1,Q5KEU1_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,1,,,
B0XPA2,RGLB_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
Q0UAH2,Q0UAH2_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
