ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSCAFP00000030407,CANFA,13.0,1,1,1,1,1,1,1,1,1,1,1,1,,1
F7DCA4,F7DCA4_ORNAN,ENSOANP00000002406,ORNAN,12.0,1,1,1,1,1,1,1,1,1,1,1,1,,
B7PWL1,B7PWL1_IXOSC,nan,IXOSC,3.0,,,,,,1,1,,,,,1,,
A1Z856,A1Z856_DROME,nan,DROME,1.0,,,,,,,,,,,,,,1
F1MPK2,F1MPK2_BOVIN,ENSBTAP00000010251,BOVIN,1.0,,,,,,,,,,,,,,1
Q9JK45,KCNQ5_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,,1
Q9GYM8,Q9GYM8_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q8MQC5,Q8MQC5_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,,1
Q7PP97,Q7PP97_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,,1
Q0P4Q9,Q0P4Q9_XENTR,ENSXETP00000010358,XENTR,1.0,,,,,,,,,,,,,,1
H2U4N7,H2U4N7_TAKRU,ENSTRUP00000031899,TAKRU,1.0,,,,,,,,,,,,,,1
H2T7X3,H2T7X3_TAKRU,ENSTRUP00000020763,TAKRU,1.0,,,,,,,,,,,,,,1
H2S7B8,H2S7B8_TAKRU,ENSTRUP00000008290,TAKRU,1.0,,,,,,,,,,,1,,,
F7D7K6,F7D7K6_ORNAN,ENSOANP00000005456,ORNAN,1.0,,,,,,,,,,,,,,1
F6U879,F6U879_CIOIN,ENSCINP00000021750,CIOIN,1.0,,,,,,,,,,,,,,1
F1P5S0,F1P5S0_CHICK,ENSGALP00000025631,CHICK,1.0,,,,,,,,,,,1,,,
C4QTF0,nan,nan,nan,1.0,,,,,,,,,,,,1,,
A7S0A4,A7S0A4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,,1
C4Q854,nan,nan,nan,1.0,,,,,,,,,,,,,,1
C3ZX16,C3ZX16_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
C3ZX15,C3ZX15_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
C3ZTY5,C3ZTY5_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
C3Y739,C3Y739_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3XSR8,C3XSR8_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3XQW6,C3XQW6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
B8JHS5,B8JHS5_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,,1
B8BY88,B8BY88_THAPS,nan,THAPS,1.0,,,,,,,,,,,,,,1
B8A4P0,nan,nan,nan,1.0,,,,,,,,,,,,,,1
B7PWK9,B7PWK9_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,,1
A7S0R0,A7S0R0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
nan,nan,ENSMODP00000023135,MONDO,1.0,,,,,,,,,,,,,,1
