ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
nan,nan,ENSXETP00000054515,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7YWD2,IPO13_BOVIN,ENSBTAP00000025142,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9VEC5,Q9VEC5_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9JM04,IPO13_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8K0C1,IPO13_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7Q1Y7,Q7Q1Y7_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5ZIC8,IPO13_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O94829,IPO13_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2VDA3,H2VDA3_TAKRU,ENSTRUP00000047197,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2PYV4,H2PYV4_PANTR,ENSPTRP00000001126,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7FY12,F7FY12_MACMU,ENSMMUP00000040341,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6Q2P1,F6Q2P1_MONDO,ENSMODP00000003664,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1Q9F5,F1Q9F5_DANRE,ENSDARP00000080059,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2RK88,E2RK88_CANFA,ENSCAFP00000007282,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3ZJ96,C3ZJ96_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
